New op,SYMPY expression,Expression for LLM,Value
N/A,(6 + 2),(6 + 2),8.00000000000000
sqrt,sqrt((6 + 2)),sqrt((6 + 2)),2.82842712474619
exp,exp(sqrt((6 + 2))),e^(sqrt((6 + 2))),16.9188286785579
log,"log(exp(sqrt((6 + 2))),2)",log_2(e^(sqrt((6 + 2)))),4.08055778638716
/,"(log(exp(sqrt((6 + 2))),2))/(112)",(log_2(e^(sqrt((6 + 2)))))/(112),0.0364335516641711
pow,"((log(exp(sqrt((6 + 2))),2))/(112))**4",((log_2(e^(sqrt((6 + 2)))))/(112))^4,1.76200054790498e-6
sqrt,"sqrt(((log(exp(sqrt((6 + 2))),2))/(112))**4)",sqrt(((log_2(e^(sqrt((6 + 2)))))/(112))^4),0.00132740368686582
log,"log(sqrt(((log(exp(sqrt((6 + 2))),2))/(112))**4),8)",log_8(sqrt(((log_2(e^(sqrt((6 + 2)))))/(112))^4)),-3.18572569940847
/,"(log(sqrt(((log(exp(sqrt((6 + 2))),2))/(112))**4),8))/(63)",(log_8(sqrt(((log_2(e^(sqrt((6 + 2)))))/(112))^4)))/(63),-0.0505670745937853
exp,"exp((log(sqrt(((log(exp(sqrt((6 + 2))),2))/(112))**4),8))/(63))",e^((log_8(sqrt(((log_2(e^(sqrt((6 + 2)))))/(112))^4)))/(63)),0.950690159377445
sqrt,"sqrt(exp((log(sqrt(((log(exp(sqrt((6 + 2))),2))/(112))**4),8))/(63)))",sqrt(e^((log_8(sqrt(((log_2(e^(sqrt((6 + 2)))))/(112))^4)))/(63))),0.975033414492778
exp,"exp(sqrt(exp((log(sqrt(((log(exp(sqrt((6 + 2))),2))/(112))**4),8))/(63))))",e^(sqrt(e^((log_8(sqrt(((log_2(e^(sqrt((6 + 2)))))/(112))^4)))/(63)))),2.65125579987030
*,"(exp(sqrt(exp((log(sqrt(((log(exp(sqrt((6 + 2))),2))/(112))**4),8))/(63)))))*(131)",(e^(sqrt(e^((log_8(sqrt(((log_2(e^(sqrt((6 + 2)))))/(112))^4)))/(63)))))*(131),347.314509783009
sqrt,"sqrt((exp(sqrt(exp((log(sqrt(((log(exp(sqrt((6 + 2))),2))/(112))**4),8))/(63)))))*(131))",sqrt((e^(sqrt(e^((log_8(sqrt(((log_2(e^(sqrt((6 + 2)))))/(112))^4)))/(63)))))*(131)),18.6363759830877
/,"(sqrt((exp(sqrt(exp((log(sqrt(((log(exp(sqrt((6 + 2))),2))/(112))**4),8))/(63)))))*(131)))/(73)",(sqrt((e^(sqrt(e^((log_8(sqrt(((log_2(e^(sqrt((6 + 2)))))/(112))^4)))/(63)))))*(131)))/(73),0.255292821686133
exp,"exp((sqrt((exp(sqrt(exp((log(sqrt(((log(exp(sqrt((6 + 2))),2))/(112))**4),8))/(63)))))*(131)))/(73))",e^((sqrt((e^(sqrt(e^((log_8(sqrt(((log_2(e^(sqrt((6 + 2)))))/(112))^4)))/(63)))))*(131)))/(73)),1.29083955135102
pow,"(exp((sqrt((exp(sqrt(exp((log(sqrt(((log(exp(sqrt((6 + 2))),2))/(112))**4),8))/(63)))))*(131)))/(73)))**3",(e^((sqrt((e^(sqrt(e^((log_8(sqrt(((log_2(e^(sqrt((6 + 2)))))/(112))^4)))/(63)))))*(131)))/(73)))^3,2.15088302055731
exp,"exp((exp((sqrt((exp(sqrt(exp((log(sqrt(((log(exp(sqrt((6 + 2))),2))/(112))**4),8))/(63)))))*(131)))/(73)))**3)",e^((e^((sqrt((e^(sqrt(e^((log_8(sqrt(((log_2(e^(sqrt((6 + 2)))))/(112))^4)))/(63)))))*(131)))/(73)))^3),8.59244235152524
/,"(exp((exp((sqrt((exp(sqrt(exp((log(sqrt(((log(exp(sqrt((6 + 2))),2))/(112))**4),8))/(63)))))*(131)))/(73)))**3))/(163)",(e^((e^((sqrt((e^(sqrt(e^((log_8(sqrt(((log_2(e^(sqrt((6 + 2)))))/(112))^4)))/(63)))))*(131)))/(73)))^3))/(163),0.0527143702547561
exp,"exp((exp((exp((sqrt((exp(sqrt(exp((log(sqrt(((log(exp(sqrt((6 + 2))),2))/(112))**4),8))/(63)))))*(131)))/(73)))**3))/(163))",e^((e^((e^((sqrt((e^(sqrt(e^((log_8(sqrt(((log_2(e^(sqrt((6 + 2)))))/(112))^4)))/(63)))))*(131)))/(73)))^3))/(163)),1.05412851165683
/,"(exp((exp((exp((sqrt((exp(sqrt(exp((log(sqrt(((log(exp(sqrt((6 + 2))),2))/(112))**4),8))/(63)))))*(131)))/(73)))**3))/(163)))/(158)",(e^((e^((e^((sqrt((e^(sqrt(e^((log_8(sqrt(((log_2(e^(sqrt((6 + 2)))))/(112))^4)))/(63)))))*(131)))/(73)))^3))/(163)))/(158),0.00667169944086600
pow,"((exp((exp((exp((sqrt((exp(sqrt(exp((log(sqrt(((log(exp(sqrt((6 + 2))),2))/(112))**4),8))/(63)))))*(131)))/(73)))**3))/(163)))/(158))**4",((e^((e^((e^((sqrt((e^(sqrt(e^((log_8(sqrt(((log_2(e^(sqrt((6 + 2)))))/(112))^4)))/(63)))))*(131)))/(73)))^3))/(163)))/(158))^4,1.98128016914766e-9
pow,"(((exp((exp((exp((sqrt((exp(sqrt(exp((log(sqrt(((log(exp(sqrt((6 + 2))),2))/(112))**4),8))/(63)))))*(131)))/(73)))**3))/(163)))/(158))**4)**5",(((e^((e^((e^((sqrt((e^(sqrt(e^((log_8(sqrt(((log_2(e^(sqrt((6 + 2)))))/(112))^4)))/(63)))))*(131)))/(73)))^3))/(163)))/(158))^4)^5,3.05301869217506e-44
/,"((((exp((exp((exp((sqrt((exp(sqrt(exp((log(sqrt(((log(exp(sqrt((6 + 2))),2))/(112))**4),8))/(63)))))*(131)))/(73)))**3))/(163)))/(158))**4)**5)/(152)",((((e^((e^((e^((sqrt((e^(sqrt(e^((log_8(sqrt(((log_2(e^(sqrt((6 + 2)))))/(112))^4)))/(63)))))*(131)))/(73)))^3))/(163)))/(158))^4)^5)/(152),2.00856492906254e-46
*,"(((((exp((exp((exp((sqrt((exp(sqrt(exp((log(sqrt(((log(exp(sqrt((6 + 2))),2))/(112))**4),8))/(63)))))*(131)))/(73)))**3))/(163)))/(158))**4)**5)/(152))*(123)",(((((e^((e^((e^((sqrt((e^(sqrt(e^((log_8(sqrt(((log_2(e^(sqrt((6 + 2)))))/(112))^4)))/(63)))))*(131)))/(73)))^3))/(163)))/(158))^4)^5)/(152))*(123),2.47053486274692e-44
pow,"((((((exp((exp((exp((sqrt((exp(sqrt(exp((log(sqrt(((log(exp(sqrt((6 + 2))),2))/(112))**4),8))/(63)))))*(131)))/(73)))**3))/(163)))/(158))**4)**5)/(152))*(123))**3",((((((e^((e^((e^((sqrt((e^(sqrt(e^((log_8(sqrt(((log_2(e^(sqrt((6 + 2)))))/(112))^4)))/(63)))))*(131)))/(73)))^3))/(163)))/(158))^4)^5)/(152))*(123))^3,1.50790145523903e-131
/,"(((((((exp((exp((exp((sqrt((exp(sqrt(exp((log(sqrt(((log(exp(sqrt((6 + 2))),2))/(112))**4),8))/(63)))))*(131)))/(73)))**3))/(163)))/(158))**4)**5)/(152))*(123))**3)/(163)",(((((((e^((e^((e^((sqrt((e^(sqrt(e^((log_8(sqrt(((log_2(e^(sqrt((6 + 2)))))/(112))^4)))/(63)))))*(131)))/(73)))^3))/(163)))/(158))^4)^5)/(152))*(123))^3)/(163),9.25092917324558e-134
exp,"exp((((((((exp((exp((exp((sqrt((exp(sqrt(exp((log(sqrt(((log(exp(sqrt((6 + 2))),2))/(112))**4),8))/(63)))))*(131)))/(73)))**3))/(163)))/(158))**4)**5)/(152))*(123))**3)/(163))",e^((((((((e^((e^((e^((sqrt((e^(sqrt(e^((log_8(sqrt(((log_2(e^(sqrt((6 + 2)))))/(112))^4)))/(63)))))*(131)))/(73)))^3))/(163)))/(158))^4)^5)/(152))*(123))^3)/(163)),1.00000000000000
