New op,SYMPY expression,Expression for LLM,Value
N/A,(6 / 3),(6 / 3),2.00000000000000
exp,exp((6 / 3)),e^((6 / 3)),7.38905609893065
/,(exp((6 / 3)))/(193),(e^((6 / 3)))/(193),0.0382852647612987
/,((exp((6 / 3)))/(193))/(94),((e^((6 / 3)))/(193))/(94),0.000407290050652114
/,(((exp((6 / 3)))/(193))/(94))/(101),(((e^((6 / 3)))/(193))/(94))/(101),4.03257475893182e-6
*,((((exp((6 / 3)))/(193))/(94))/(101))*(99),((((e^((6 / 3)))/(193))/(94))/(101))*(99),0.000399224901134250
/,(((((exp((6 / 3)))/(193))/(94))/(101))*(99))/(151),(((((e^((6 / 3)))/(193))/(94))/(101))*(99))/(151),2.64387351744537e-6
exp,exp((((((exp((6 / 3)))/(193))/(94))/(101))*(99))/(151)),e^((((((e^((6 / 3)))/(193))/(94))/(101))*(99))/(151)),1.00000264387701
pow,(exp((((((exp((6 / 3)))/(193))/(94))/(101))*(99))/(151)))**4,(e^((((((e^((6 / 3)))/(193))/(94))/(101))*(99))/(151)))^4,1.00001057554999
exp,exp((exp((((((exp((6 / 3)))/(193))/(94))/(101))*(99))/(151)))**4),e^((e^((((((e^((6 / 3)))/(193))/(94))/(101))*(99))/(151)))^4),2.71831057593642
exp,exp(exp((exp((((((exp((6 / 3)))/(193))/(94))/(101))*(99))/(151)))**4)),e^(e^((e^((((((e^((6 / 3)))/(193))/(94))/(101))*(99))/(151)))^4)),15.1546978945521
log,"log(exp(exp((exp((((((exp((6 / 3)))/(193))/(94))/(101))*(99))/(151)))**4)),4)",log_4(e^(e^((e^((((((e^((6 / 3)))/(193))/(94))/(101))*(99))/(151)))^4))),1.96084659374975
pow,"(log(exp(exp((exp((((((exp((6 / 3)))/(193))/(94))/(101))*(99))/(151)))**4)),4))**4",(log_4(e^(e^((e^((((((e^((6 / 3)))/(193))/(94))/(101))*(99))/(151)))^4))))^4,14.7834049173538
sqrt,"sqrt((log(exp(exp((exp((((((exp((6 / 3)))/(193))/(94))/(101))*(99))/(151)))**4)),4))**4)",sqrt((log_4(e^(e^((e^((((((e^((6 / 3)))/(193))/(94))/(101))*(99))/(151)))^4))))^4),3.84491936421999
/,"(sqrt((log(exp(exp((exp((((((exp((6 / 3)))/(193))/(94))/(101))*(99))/(151)))**4)),4))**4))/(73)",(sqrt((log_4(e^(e^((e^((((((e^((6 / 3)))/(193))/(94))/(101))*(99))/(151)))^4))))^4))/(73),0.0526701282769861
/,"((sqrt((log(exp(exp((exp((((((exp((6 / 3)))/(193))/(94))/(101))*(99))/(151)))**4)),4))**4))/(73))/(172)",((sqrt((log_4(e^(e^((e^((((((e^((6 / 3)))/(193))/(94))/(101))*(99))/(151)))^4))))^4))/(73))/(172),0.000306221676028989
/,"(((sqrt((log(exp(exp((exp((((((exp((6 / 3)))/(193))/(94))/(101))*(99))/(151)))**4)),4))**4))/(73))/(172))/(144)",(((sqrt((log_4(e^(e^((e^((((((e^((6 / 3)))/(193))/(94))/(101))*(99))/(151)))^4))))^4))/(73))/(172))/(144),2.12653941686798e-6
pow,"((((sqrt((log(exp(exp((exp((((((exp((6 / 3)))/(193))/(94))/(101))*(99))/(151)))**4)),4))**4))/(73))/(172))/(144))**5",((((sqrt((log_4(e^(e^((e^((((((e^((6 / 3)))/(193))/(94))/(101))*(99))/(151)))^4))))^4))/(73))/(172))/(144))^5,4.34877747275470e-29
*,"(((((sqrt((log(exp(exp((exp((((((exp((6 / 3)))/(193))/(94))/(101))*(99))/(151)))**4)),4))**4))/(73))/(172))/(144))**5)*(186)",(((((sqrt((log_4(e^(e^((e^((((((e^((6 / 3)))/(193))/(94))/(101))*(99))/(151)))^4))))^4))/(73))/(172))/(144))^5)*(186),8.08872609932375e-27
*,"((((((sqrt((log(exp(exp((exp((((((exp((6 / 3)))/(193))/(94))/(101))*(99))/(151)))**4)),4))**4))/(73))/(172))/(144))**5)*(186))*(174)",((((((sqrt((log_4(e^(e^((e^((((((e^((6 / 3)))/(193))/(94))/(101))*(99))/(151)))^4))))^4))/(73))/(172))/(144))^5)*(186))*(174),1.40743834128233e-24
pow,"(((((((sqrt((log(exp(exp((exp((((((exp((6 / 3)))/(193))/(94))/(101))*(99))/(151)))**4)),4))**4))/(73))/(172))/(144))**5)*(186))*(174))**4",(((((((sqrt((log_4(e^(e^((e^((((((e^((6 / 3)))/(193))/(94))/(101))*(99))/(151)))^4))))^4))/(73))/(172))/(144))^5)*(186))*(174))^4,3.92389620979773e-96
log,"log((((((((sqrt((log(exp(exp((exp((((((exp((6 / 3)))/(193))/(94))/(101))*(99))/(151)))**4)),4))**4))/(73))/(172))/(144))**5)*(186))*(174))**4,9)",log_9((((((((sqrt((log_4(e^(e^((e^((((((e^((6 / 3)))/(193))/(94))/(101))*(99))/(151)))^4))))^4))/(73))/(172))/(144))^5)*(186))*(174))^4),-99.9811699277939
*,"(log((((((((sqrt((log(exp(exp((exp((((((exp((6 / 3)))/(193))/(94))/(101))*(99))/(151)))**4)),4))**4))/(73))/(172))/(144))**5)*(186))*(174))**4,9))*(116)",(log_9((((((((sqrt((log_4(e^(e^((e^((((((e^((6 / 3)))/(193))/(94))/(101))*(99))/(151)))^4))))^4))/(73))/(172))/(144))^5)*(186))*(174))^4))*(116),-11597.8157116241
/,"((log((((((((sqrt((log(exp(exp((exp((((((exp((6 / 3)))/(193))/(94))/(101))*(99))/(151)))**4)),4))**4))/(73))/(172))/(144))**5)*(186))*(174))**4,9))*(116))/(117)",((log_9((((((((sqrt((log_4(e^(e^((e^((((((e^((6 / 3)))/(193))/(94))/(101))*(99))/(151)))^4))))^4))/(73))/(172))/(144))^5)*(186))*(174))^4))*(116))/(117),-99.1266300138811
/,"(((log((((((((sqrt((log(exp(exp((exp((((((exp((6 / 3)))/(193))/(94))/(101))*(99))/(151)))**4)),4))**4))/(73))/(172))/(144))**5)*(186))*(174))**4,9))*(116))/(117))/(132)",(((log_9((((((((sqrt((log_4(e^(e^((e^((((((e^((6 / 3)))/(193))/(94))/(101))*(99))/(151)))^4))))^4))/(73))/(172))/(144))^5)*(186))*(174))^4))*(116))/(117))/(132),-0.750959318286978
/,"((((log((((((((sqrt((log(exp(exp((exp((((((exp((6 / 3)))/(193))/(94))/(101))*(99))/(151)))**4)),4))**4))/(73))/(172))/(144))**5)*(186))*(174))**4,9))*(116))/(117))/(132))/(162)",((((log_9((((((((sqrt((log_4(e^(e^((e^((((((e^((6 / 3)))/(193))/(94))/(101))*(99))/(151)))^4))))^4))/(73))/(172))/(144))^5)*(186))*(174))^4))*(116))/(117))/(132))/(162),-0.00463555134745048
*,"(((((log((((((((sqrt((log(exp(exp((exp((((((exp((6 / 3)))/(193))/(94))/(101))*(99))/(151)))**4)),4))**4))/(73))/(172))/(144))**5)*(186))*(174))**4,9))*(116))/(117))/(132))/(162))*(152)",(((((log_9((((((((sqrt((log_4(e^(e^((e^((((((e^((6 / 3)))/(193))/(94))/(101))*(99))/(151)))^4))))^4))/(73))/(172))/(144))^5)*(186))*(174))^4))*(116))/(117))/(132))/(162))*(152),-0.704603804812473
exp,"exp((((((log((((((((sqrt((log(exp(exp((exp((((((exp((6 / 3)))/(193))/(94))/(101))*(99))/(151)))**4)),4))**4))/(73))/(172))/(144))**5)*(186))*(174))**4,9))*(116))/(117))/(132))/(162))*(152))",e^((((((log_9((((((((sqrt((log_4(e^(e^((e^((((((e^((6 / 3)))/(193))/(94))/(101))*(99))/(151)))^4))))^4))/(73))/(172))/(144))^5)*(186))*(174))^4))*(116))/(117))/(132))/(162))*(152)),0.494304376480766
exp,"exp(exp((((((log((((((((sqrt((log(exp(exp((exp((((((exp((6 / 3)))/(193))/(94))/(101))*(99))/(151)))**4)),4))**4))/(73))/(172))/(144))**5)*(186))*(174))**4,9))*(116))/(117))/(132))/(162))*(152)))",e^(e^((((((log_9((((((((sqrt((log_4(e^(e^((e^((((((e^((6 / 3)))/(193))/(94))/(101))*(99))/(151)))^4))))^4))/(73))/(172))/(144))^5)*(186))*(174))^4))*(116))/(117))/(132))/(162))*(152))),1.63935746671873
sqrt,"sqrt(exp(exp((((((log((((((((sqrt((log(exp(exp((exp((((((exp((6 / 3)))/(193))/(94))/(101))*(99))/(151)))**4)),4))**4))/(73))/(172))/(144))**5)*(186))*(174))**4,9))*(116))/(117))/(132))/(162))*(152))))",sqrt(e^(e^((((((log_9((((((((sqrt((log_4(e^(e^((e^((((((e^((6 / 3)))/(193))/(94))/(101))*(99))/(151)))^4))))^4))/(73))/(172))/(144))^5)*(186))*(174))^4))*(116))/(117))/(132))/(162))*(152)))),1.28037395581085
/,"(sqrt(exp(exp((((((log((((((((sqrt((log(exp(exp((exp((((((exp((6 / 3)))/(193))/(94))/(101))*(99))/(151)))**4)),4))**4))/(73))/(172))/(144))**5)*(186))*(174))**4,9))*(116))/(117))/(132))/(162))*(152)))))/(120)",(sqrt(e^(e^((((((log_9((((((((sqrt((log_4(e^(e^((e^((((((e^((6 / 3)))/(193))/(94))/(101))*(99))/(151)))^4))))^4))/(73))/(172))/(144))^5)*(186))*(174))^4))*(116))/(117))/(132))/(162))*(152)))))/(120),0.0106697829650904
*,"((sqrt(exp(exp((((((log((((((((sqrt((log(exp(exp((exp((((((exp((6 / 3)))/(193))/(94))/(101))*(99))/(151)))**4)),4))**4))/(73))/(172))/(144))**5)*(186))*(174))**4,9))*(116))/(117))/(132))/(162))*(152)))))/(120))*(172)",((sqrt(e^(e^((((((log_9((((((((sqrt((log_4(e^(e^((e^((((((e^((6 / 3)))/(193))/(94))/(101))*(99))/(151)))^4))))^4))/(73))/(172))/(144))^5)*(186))*(174))^4))*(116))/(117))/(132))/(162))*(152)))))/(120))*(172),1.83520266999555
