New op,SYMPY expression,Expression for LLM,Value
N/A,(7 - 2),(7 - 2),5.00000000000000
exp,exp((7 - 2)),e^((7 - 2)),148.413159102577
sqrt,sqrt(exp((7 - 2))),sqrt(e^((7 - 2))),12.1824939607035
sqrt,sqrt(sqrt(exp((7 - 2)))),sqrt(sqrt(e^((7 - 2)))),3.49034295746184
*,(sqrt(sqrt(exp((7 - 2)))))*(143),(sqrt(sqrt(e^((7 - 2)))))*(143),499.119042917043
log,"log((sqrt(sqrt(exp((7 - 2)))))*(143),9)",log_9((sqrt(sqrt(e^((7 - 2)))))*(143)),2.82758744570024
*,"(log((sqrt(sqrt(exp((7 - 2)))))*(143),9))*(154)",(log_9((sqrt(sqrt(e^((7 - 2)))))*(143)))*(154),435.448466637837
pow,"((log((sqrt(sqrt(exp((7 - 2)))))*(143),9))*(154))**3",((log_9((sqrt(sqrt(e^((7 - 2)))))*(143)))*(154))^3,82567720.8534651
*,"(((log((sqrt(sqrt(exp((7 - 2)))))*(143),9))*(154))**3)*(76)",(((log_9((sqrt(sqrt(e^((7 - 2)))))*(143)))*(154))^3)*(76),6275146784.86335
/,"((((log((sqrt(sqrt(exp((7 - 2)))))*(143),9))*(154))**3)*(76))/(167)",((((log_9((sqrt(sqrt(e^((7 - 2)))))*(143)))*(154))^3)*(76))/(167),37575729.2506787
pow,"(((((log((sqrt(sqrt(exp((7 - 2)))))*(143),9))*(154))**3)*(76))/(167))**4",(((((log_9((sqrt(sqrt(e^((7 - 2)))))*(143)))*(154))^3)*(76))/(167))^4,1.99356165487561e+30
pow,"((((((log((sqrt(sqrt(exp((7 - 2)))))*(143),9))*(154))**3)*(76))/(167))**4)**4",((((((log_9((sqrt(sqrt(e^((7 - 2)))))*(143)))*(154))^3)*(76))/(167))^4)^4,1.57949656775754e+121
*,"(((((((log((sqrt(sqrt(exp((7 - 2)))))*(143),9))*(154))**3)*(76))/(167))**4)**4)*(150)",(((((((log_9((sqrt(sqrt(e^((7 - 2)))))*(143)))*(154))^3)*(76))/(167))^4)^4)*(150),2.36924485163631e+123
sqrt,"sqrt((((((((log((sqrt(sqrt(exp((7 - 2)))))*(143),9))*(154))**3)*(76))/(167))**4)**4)*(150))",sqrt((((((((log_9((sqrt(sqrt(e^((7 - 2)))))*(143)))*(154))^3)*(76))/(167))^4)^4)*(150)),4.86748893335805e+61
*,"(sqrt((((((((log((sqrt(sqrt(exp((7 - 2)))))*(143),9))*(154))**3)*(76))/(167))**4)**4)*(150)))*(199)",(sqrt((((((((log_9((sqrt(sqrt(e^((7 - 2)))))*(143)))*(154))^3)*(76))/(167))^4)^4)*(150)))*(199),9.68630297738253e+63
pow,"((sqrt((((((((log((sqrt(sqrt(exp((7 - 2)))))*(143),9))*(154))**3)*(76))/(167))**4)**4)*(150)))*(199))**3",((sqrt((((((((log_9((sqrt(sqrt(e^((7 - 2)))))*(143)))*(154))^3)*(76))/(167))^4)^4)*(150)))*(199))^3,9.08812198261361e+191
log,"log(((sqrt((((((((log((sqrt(sqrt(exp((7 - 2)))))*(143),9))*(154))**3)*(76))/(167))**4)**4)*(150)))*(199))**3,4)",log_4(((sqrt((((((((log_9((sqrt(sqrt(e^((7 - 2)))))*(143)))*(154))^3)*(76))/(167))^4)^4)*(150)))*(199))^3),318.836124161302
sqrt,"sqrt(log(((sqrt((((((((log((sqrt(sqrt(exp((7 - 2)))))*(143),9))*(154))**3)*(76))/(167))**4)**4)*(150)))*(199))**3,4))",sqrt(log_4(((sqrt((((((((log_9((sqrt(sqrt(e^((7 - 2)))))*(143)))*(154))^3)*(76))/(167))^4)^4)*(150)))*(199))^3)),17.8559828674117
*,"(sqrt(log(((sqrt((((((((log((sqrt(sqrt(exp((7 - 2)))))*(143),9))*(154))**3)*(76))/(167))**4)**4)*(150)))*(199))**3,4)))*(175)",(sqrt(log_4(((sqrt((((((((log_9((sqrt(sqrt(e^((7 - 2)))))*(143)))*(154))^3)*(76))/(167))^4)^4)*(150)))*(199))^3)))*(175),3124.79700179706
pow,"((sqrt(log(((sqrt((((((((log((sqrt(sqrt(exp((7 - 2)))))*(143),9))*(154))**3)*(76))/(167))**4)**4)*(150)))*(199))**3,4)))*(175))**3",((sqrt(log_4(((sqrt((((((((log_9((sqrt(sqrt(e^((7 - 2)))))*(143)))*(154))^3)*(76))/(167))^4)^4)*(150)))*(199))^3)))*(175))^3,30511631298.3423
log,"log(((sqrt(log(((sqrt((((((((log((sqrt(sqrt(exp((7 - 2)))))*(143),9))*(154))**3)*(76))/(167))**4)**4)*(150)))*(199))**3,4)))*(175))**3,8)",log_8(((sqrt(log_4(((sqrt((((((((log_9((sqrt(sqrt(e^((7 - 2)))))*(143)))*(154))^3)*(76))/(167))^4)^4)*(150)))*(199))^3)))*(175))^3),11.6095467547526
