New op,SYMPY expression,Expression for LLM,Value
N/A,(8 * 2),(8 * 2),16.0000000000000
exp,exp((8 * 2)),e^((8 * 2)),8886110.52050787
*,(exp((8 * 2)))*(195),(e^((8 * 2)))*(195),1732791551.49904
*,((exp((8 * 2)))*(195))*(152),((e^((8 * 2)))*(195))*(152),263384315827.853
pow,(((exp((8 * 2)))*(195))*(152))**3,(((e^((8 * 2)))*(195))*(152))^3,1.82713118154925e+34
log,"log((((exp((8 * 2)))*(195))*(152))**3,7)",log_7((((e^((8 * 2)))*(195))*(152))^3),40.5417692469148
/,"(log((((exp((8 * 2)))*(195))*(152))**3,7))/(57)",(log_7((((e^((8 * 2)))*(195))*(152))^3))/(57),0.711259109594996
sqrt,"sqrt((log((((exp((8 * 2)))*(195))*(152))**3,7))/(57))",sqrt((log_7((((e^((8 * 2)))*(195))*(152))^3))/(57)),0.843361790452352
*,"(sqrt((log((((exp((8 * 2)))*(195))*(152))**3,7))/(57)))*(143)",(sqrt((log_7((((e^((8 * 2)))*(195))*(152))^3))/(57)))*(143),120.600736034686
exp,"exp((sqrt((log((((exp((8 * 2)))*(195))*(152))**3,7))/(57)))*(143))",e^((sqrt((log_7((((e^((8 * 2)))*(195))*(152))^3))/(57)))*(143)),2.37812223407099e+52
/,"(exp((sqrt((log((((exp((8 * 2)))*(195))*(152))**3,7))/(57)))*(143)))/(159)",(e^((sqrt((log_7((((e^((8 * 2)))*(195))*(152))^3))/(57)))*(143)))/(159),1.49567436105094e+50
sqrt,"sqrt((exp((sqrt((log((((exp((8 * 2)))*(195))*(152))**3,7))/(57)))*(143)))/(159))",sqrt((e^((sqrt((log_7((((e^((8 * 2)))*(195))*(152))^3))/(57)))*(143)))/(159)),1.22297766171379e+25
*,"(sqrt((exp((sqrt((log((((exp((8 * 2)))*(195))*(152))**3,7))/(57)))*(143)))/(159)))*(186)",(sqrt((e^((sqrt((log_7((((e^((8 * 2)))*(195))*(152))^3))/(57)))*(143)))/(159)))*(186),2.27473845078766e+27
pow,"((sqrt((exp((sqrt((log((((exp((8 * 2)))*(195))*(152))**3,7))/(57)))*(143)))/(159)))*(186))**3",((sqrt((e^((sqrt((log_7((((e^((8 * 2)))*(195))*(152))^3))/(57)))*(143)))/(159)))*(186))^3,1.17704862999402e+82
pow,"(((sqrt((exp((sqrt((log((((exp((8 * 2)))*(195))*(152))**3,7))/(57)))*(143)))/(159)))*(186))**3)**3",(((sqrt((e^((sqrt((log_7((((e^((8 * 2)))*(195))*(152))^3))/(57)))*(143)))/(159)))*(186))^3)^3,1.63073434697347e+246
/,"((((sqrt((exp((sqrt((log((((exp((8 * 2)))*(195))*(152))**3,7))/(57)))*(143)))/(159)))*(186))**3)**3)/(85)",((((sqrt((e^((sqrt((log_7((((e^((8 * 2)))*(195))*(152))^3))/(57)))*(143)))/(159)))*(186))^3)^3)/(85),1.91851099643937e+244
pow,"(((((sqrt((exp((sqrt((log((((exp((8 * 2)))*(195))*(152))**3,7))/(57)))*(143)))/(159)))*(186))**3)**3)/(85))**5",(((((sqrt((e^((sqrt((log_7((((e^((8 * 2)))*(195))*(152))^3))/(57)))*(143)))/(159)))*(186))^3)^3)/(85))^5,2.59909087234755e+1221
log,"log((((((sqrt((exp((sqrt((log((((exp((8 * 2)))*(195))*(152))**3,7))/(57)))*(143)))/(159)))*(186))**3)**3)/(85))**5,9)",log_9((((((sqrt((e^((sqrt((log_7((((e^((8 * 2)))*(195))*(152))^3))/(57)))*(143)))/(159)))*(186))^3)^3)/(85))^5),1279.98366178605
*,"(log((((((sqrt((exp((sqrt((log((((exp((8 * 2)))*(195))*(152))**3,7))/(57)))*(143)))/(159)))*(186))**3)**3)/(85))**5,9))*(195)",(log_9((((((sqrt((e^((sqrt((log_7((((e^((8 * 2)))*(195))*(152))^3))/(57)))*(143)))/(159)))*(186))^3)^3)/(85))^5))*(195),249596.814048281
log,"log((log((((((sqrt((exp((sqrt((log((((exp((8 * 2)))*(195))*(152))**3,7))/(57)))*(143)))/(159)))*(186))**3)**3)/(85))**5,9))*(195),9)",log_9((log_9((((((sqrt((e^((sqrt((log_7((((e^((8 * 2)))*(195))*(152))^3))/(57)))*(143)))/(159)))*(186))^3)^3)/(85))^5))*(195)),5.65604548545182
*,"(log((log((((((sqrt((exp((sqrt((log((((exp((8 * 2)))*(195))*(152))**3,7))/(57)))*(143)))/(159)))*(186))**3)**3)/(85))**5,9))*(195),9))*(183)",(log_9((log_9((((((sqrt((e^((sqrt((log_7((((e^((8 * 2)))*(195))*(152))^3))/(57)))*(143)))/(159)))*(186))^3)^3)/(85))^5))*(195)))*(183),1035.05632383768
exp,"exp((log((log((((((sqrt((exp((sqrt((log((((exp((8 * 2)))*(195))*(152))**3,7))/(57)))*(143)))/(159)))*(186))**3)**3)/(85))**5,9))*(195),9))*(183))",e^((log_9((log_9((((((sqrt((e^((sqrt((log_7((((e^((8 * 2)))*(195))*(152))^3))/(57)))*(143)))/(159)))*(186))^3)^3)/(85))^5))*(195)))*(183)),3.30559697013090e+449
*,"(exp((log((log((((((sqrt((exp((sqrt((log((((exp((8 * 2)))*(195))*(152))**3,7))/(57)))*(143)))/(159)))*(186))**3)**3)/(85))**5,9))*(195),9))*(183)))*(129)",(e^((log_9((log_9((((((sqrt((e^((sqrt((log_7((((e^((8 * 2)))*(195))*(152))^3))/(57)))*(143)))/(159)))*(186))^3)^3)/(85))^5))*(195)))*(183)))*(129),4.26422009146886e+451
log,"log((exp((log((log((((((sqrt((exp((sqrt((log((((exp((8 * 2)))*(195))*(152))**3,7))/(57)))*(143)))/(159)))*(186))**3)**3)/(85))**5,9))*(195),9))*(183)))*(129),8)",log_8((e^((log_9((log_9((((((sqrt((e^((sqrt((log_7((((e^((8 * 2)))*(195))*(152))^3))/(57)))*(143)))/(159)))*(186))^3)^3)/(85))^5))*(195)))*(183)))*(129)),500.093950898936
