New op,SYMPY expression,Expression for LLM,Value
N/A,(12 / 4),(12 / 4),3.00000000000000
sqrt,sqrt((12 / 4)),sqrt((12 / 4)),1.73205080756888
pow,(sqrt((12 / 4)))**3,(sqrt((12 / 4)))^3,5.19615242270663
sin,sin((sqrt((12 / 4)))**3),sin((sqrt((12 / 4)))^3),-0.885250766121023
pow,(sin((sqrt((12 / 4)))**3))**4,(sin((sqrt((12 / 4)))^3))^4,0.614136974477884
log,"log((sin((sqrt((12 / 4)))**3))**4,4)",log_4((sin((sqrt((12 / 4)))^3))^4),-0.351683815443167
exp,"exp(log((sin((sqrt((12 / 4)))**3))**4,4))",e^(log_4((sin((sqrt((12 / 4)))^3))^4)),0.703502523448140
log,"log(exp(log((sin((sqrt((12 / 4)))**3))**4,4)),8)",log_8(e^(log_4((sin((sqrt((12 / 4)))^3))^4))),-0.169124165500256
cos,"cos(log(exp(log((sin((sqrt((12 / 4)))**3))**4,4)),8))",cos(log_8(e^(log_4((sin((sqrt((12 / 4)))^3))^4)))),0.985732564614528
tan,"tan(cos(log(exp(log((sin((sqrt((12 / 4)))**3))**4,4)),8)))",tan(cos(log_8(e^(log_4((sin((sqrt((12 / 4)))^3))^4))))),1.50959355295801
sqrt,"sqrt(tan(cos(log(exp(log((sin((sqrt((12 / 4)))**3))**4,4)),8))))",sqrt(tan(cos(log_8(e^(log_4((sin((sqrt((12 / 4)))^3))^4)))))),1.22865518065811
sqrt,"sqrt(sqrt(tan(cos(log(exp(log((sin((sqrt((12 / 4)))**3))**4,4)),8)))))",sqrt(sqrt(tan(cos(log_8(e^(log_4((sin((sqrt((12 / 4)))^3))^4))))))),1.10844719344591
pow,"(sqrt(sqrt(tan(cos(log(exp(log((sin((sqrt((12 / 4)))**3))**4,4)),8))))))**5",(sqrt(sqrt(tan(cos(log_8(e^(log_4((sin((sqrt((12 / 4)))^3))^4))))))))^5,1.67330473702035
sqrt,"sqrt((sqrt(sqrt(tan(cos(log(exp(log((sin((sqrt((12 / 4)))**3))**4,4)),8))))))**5)",sqrt((sqrt(sqrt(tan(cos(log_8(e^(log_4((sin((sqrt((12 / 4)))^3))^4))))))))^5),1.29356280752824
pow,"(sqrt((sqrt(sqrt(tan(cos(log(exp(log((sin((sqrt((12 / 4)))**3))**4,4)),8))))))**5))**4",(sqrt((sqrt(sqrt(tan(cos(log_8(e^(log_4((sin((sqrt((12 / 4)))^3))^4))))))))^5))^4,2.79994874293473
cos,"cos((sqrt((sqrt(sqrt(tan(cos(log(exp(log((sin((sqrt((12 / 4)))**3))**4,4)),8))))))**5))**4)",cos((sqrt((sqrt(sqrt(tan(cos(log_8(e^(log_4((sin((sqrt((12 / 4)))^3))^4))))))))^5))^4),-0.942205168921445
*,"(cos((sqrt((sqrt(sqrt(tan(cos(log(exp(log((sin((sqrt((12 / 4)))**3))**4,4)),8))))))**5))**4))*(112)",(cos((sqrt((sqrt(sqrt(tan(cos(log_8(e^(log_4((sin((sqrt((12 / 4)))^3))^4))))))))^5))^4))*(112),-105.526978919202
*,"((cos((sqrt((sqrt(sqrt(tan(cos(log(exp(log((sin((sqrt((12 / 4)))**3))**4,4)),8))))))**5))**4))*(112))*(145)",((cos((sqrt((sqrt(sqrt(tan(cos(log_8(e^(log_4((sin((sqrt((12 / 4)))^3))^4))))))))^5))^4))*(112))*(145),-15301.4119432843
tan,"tan(((cos((sqrt((sqrt(sqrt(tan(cos(log(exp(log((sin((sqrt((12 / 4)))**3))**4,4)),8))))))**5))**4))*(112))*(145))",tan(((cos((sqrt((sqrt(sqrt(tan(cos(log_8(e^(log_4((sin((sqrt((12 / 4)))^3))^4))))))))^5))^4))*(112))*(145)),3.41421547908080
log,"log(tan(((cos((sqrt((sqrt(sqrt(tan(cos(log(exp(log((sin((sqrt((12 / 4)))**3))**4,4)),8))))))**5))**4))*(112))*(145)),10)",log_10(tan(((cos((sqrt((sqrt(sqrt(tan(cos(log_8(e^(log_4((sin((sqrt((12 / 4)))^3))^4))))))))^5))^4))*(112))*(145))),0.533290926978663
sqrt,"sqrt(log(tan(((cos((sqrt((sqrt(sqrt(tan(cos(log(exp(log((sin((sqrt((12 / 4)))**3))**4,4)),8))))))**5))**4))*(112))*(145)),10))",sqrt(log_10(tan(((cos((sqrt((sqrt(sqrt(tan(cos(log_8(e^(log_4((sin((sqrt((12 / 4)))^3))^4))))))))^5))^4))*(112))*(145)))),0.730267709116775
log,"log(sqrt(log(tan(((cos((sqrt((sqrt(sqrt(tan(cos(log(exp(log((sin((sqrt((12 / 4)))**3))**4,4)),8))))))**5))**4))*(112))*(145)),10)),6)",log_6(sqrt(log_10(tan(((cos((sqrt((sqrt(sqrt(tan(cos(log_8(e^(log_4((sin((sqrt((12 / 4)))^3))^4))))))))^5))^4))*(112))*(145))))),-0.175438775487392
*,"(log(sqrt(log(tan(((cos((sqrt((sqrt(sqrt(tan(cos(log(exp(log((sin((sqrt((12 / 4)))**3))**4,4)),8))))))**5))**4))*(112))*(145)),10)),6))*(86)",(log_6(sqrt(log_10(tan(((cos((sqrt((sqrt(sqrt(tan(cos(log_8(e^(log_4((sin((sqrt((12 / 4)))^3))^4))))))))^5))^4))*(112))*(145))))))*(86),-15.0877346919157
/,"((log(sqrt(log(tan(((cos((sqrt((sqrt(sqrt(tan(cos(log(exp(log((sin((sqrt((12 / 4)))**3))**4,4)),8))))))**5))**4))*(112))*(145)),10)),6))*(86))/(134)",((log_6(sqrt(log_10(tan(((cos((sqrt((sqrt(sqrt(tan(cos(log_8(e^(log_4((sin((sqrt((12 / 4)))^3))^4))))))))^5))^4))*(112))*(145))))))*(86))/(134),-0.112595035014297
*,"(((log(sqrt(log(tan(((cos((sqrt((sqrt(sqrt(tan(cos(log(exp(log((sin((sqrt((12 / 4)))**3))**4,4)),8))))))**5))**4))*(112))*(145)),10)),6))*(86))/(134))*(126)",(((log_6(sqrt(log_10(tan(((cos((sqrt((sqrt(sqrt(tan(cos(log_8(e^(log_4((sin((sqrt((12 / 4)))^3))^4))))))))^5))^4))*(112))*(145))))))*(86))/(134))*(126),-14.1869744118014
pow,"((((log(sqrt(log(tan(((cos((sqrt((sqrt(sqrt(tan(cos(log(exp(log((sin((sqrt((12 / 4)))**3))**4,4)),8))))))**5))**4))*(112))*(145)),10)),6))*(86))/(134))*(126))**3",((((log_6(sqrt(log_10(tan(((cos((sqrt((sqrt(sqrt(tan(cos(log_8(e^(log_4((sin((sqrt((12 / 4)))^3))^4))))))))^5))^4))*(112))*(145))))))*(86))/(134))*(126))^3,-2855.41578674627
tan,"tan(((((log(sqrt(log(tan(((cos((sqrt((sqrt(sqrt(tan(cos(log(exp(log((sin((sqrt((12 / 4)))**3))**4,4)),8))))))**5))**4))*(112))*(145)),10)),6))*(86))/(134))*(126))**3)",tan(((((log_6(sqrt(log_10(tan(((cos((sqrt((sqrt(sqrt(tan(cos(log_8(e^(log_4((sin((sqrt((12 / 4)))^3))^4))))))))^5))^4))*(112))*(145))))))*(86))/(134))*(126))^3),0.300521718830338
