New op,SYMPY expression,Expression for LLM,Value
N/A,(6 + 2),(6 + 2),8.00000000000000
/,((6 + 2))/(73),((6 + 2))/(73),0.109589041095890
tan,tan(((6 + 2))/(73)),tan(((6 + 2))/(73)),0.110029871542230
*,(tan(((6 + 2))/(73)))*(191),(tan(((6 + 2))/(73)))*(191),21.0157054645660
pow,((tan(((6 + 2))/(73)))*(191))**4,((tan(((6 + 2))/(73)))*(191))^4,195063.446221494
pow,(((tan(((6 + 2))/(73)))*(191))**4)**3,(((tan(((6 + 2))/(73)))*(191))^4)^3,7.42211498284485e+15
/,((((tan(((6 + 2))/(73)))*(191))**4)**3)/(51),((((tan(((6 + 2))/(73)))*(191))^4)^3)/(51),145531666330291.
pow,(((((tan(((6 + 2))/(73)))*(191))**4)**3)/(51))**5,(((((tan(((6 + 2))/(73)))*(191))^4)^3)/(51))^5,6.52811069689559e+70
log,"log((((((tan(((6 + 2))/(73)))*(191))**4)**3)/(51))**5,6)",log_6((((((tan(((6 + 2))/(73)))*(191))^4)^3)/(51))^5),91.0038857808276
cos,"cos(log((((((tan(((6 + 2))/(73)))*(191))**4)**3)/(51))**5,6))",cos(log_6((((((tan(((6 + 2))/(73)))*(191))^4)^3)/(51))^5)),-0.994771797019711
tan,"tan(cos(log((((((tan(((6 + 2))/(73)))*(191))**4)**3)/(51))**5,6)))",tan(cos(log_6((((((tan(((6 + 2))/(73)))*(191))^4)^3)/(51))^5))),-1.53964290413581
*,"(tan(cos(log((((((tan(((6 + 2))/(73)))*(191))**4)**3)/(51))**5,6))))*(157)",(tan(cos(log_6((((((tan(((6 + 2))/(73)))*(191))^4)^3)/(51))^5))))*(157),-241.723935949322
/,"((tan(cos(log((((((tan(((6 + 2))/(73)))*(191))**4)**3)/(51))**5,6))))*(157))/(96)",((tan(cos(log_6((((((tan(((6 + 2))/(73)))*(191))^4)^3)/(51))^5))))*(157))/(96),-2.51795766613877
/,"(((tan(cos(log((((((tan(((6 + 2))/(73)))*(191))**4)**3)/(51))**5,6))))*(157))/(96))/(86)",(((tan(cos(log_6((((((tan(((6 + 2))/(73)))*(191))^4)^3)/(51))^5))))*(157))/(96))/(86),-0.0292785775132415
sin,"sin((((tan(cos(log((((((tan(((6 + 2))/(73)))*(191))**4)**3)/(51))**5,6))))*(157))/(96))/(86))",sin((((tan(cos(log_6((((((tan(((6 + 2))/(73)))*(191))^4)^3)/(51))^5))))*(157))/(96))/(86)),-0.0292743945884735
sin,"sin(sin((((tan(cos(log((((((tan(((6 + 2))/(73)))*(191))**4)**3)/(51))**5,6))))*(157))/(96))/(86)))",sin(sin((((tan(cos(log_6((((((tan(((6 + 2))/(73)))*(191))^4)^3)/(51))^5))))*(157))/(96))/(86))),-0.0292702134561962
tan,"tan(sin(sin((((tan(cos(log((((((tan(((6 + 2))/(73)))*(191))**4)**3)/(51))**5,6))))*(157))/(96))/(86))))",tan(sin(sin((((tan(cos(log_6((((((tan(((6 + 2))/(73)))*(191))^4)^3)/(51))^5))))*(157))/(96))/(86)))),-0.0292785753620216
exp,"exp(tan(sin(sin((((tan(cos(log((((((tan(((6 + 2))/(73)))*(191))**4)**3)/(51))**5,6))))*(157))/(96))/(86)))))",e^(tan(sin(sin((((tan(cos(log_6((((((tan(((6 + 2))/(73)))*(191))^4)^3)/(51))^5))))*(157))/(96))/(86))))),0.971145889462857
*,"(exp(tan(sin(sin((((tan(cos(log((((((tan(((6 + 2))/(73)))*(191))**4)**3)/(51))**5,6))))*(157))/(96))/(86))))))*(77)",(e^(tan(sin(sin((((tan(cos(log_6((((((tan(((6 + 2))/(73)))*(191))^4)^3)/(51))^5))))*(157))/(96))/(86))))))*(77),74.7782334886400
log,"log((exp(tan(sin(sin((((tan(cos(log((((((tan(((6 + 2))/(73)))*(191))**4)**3)/(51))**5,6))))*(157))/(96))/(86))))))*(77),5)",log_5((e^(tan(sin(sin((((tan(cos(log_6((((((tan(((6 + 2))/(73)))*(191))^4)^3)/(51))^5))))*(157))/(96))/(86))))))*(77)),2.68076625582059
pow,"(log((exp(tan(sin(sin((((tan(cos(log((((((tan(((6 + 2))/(73)))*(191))**4)**3)/(51))**5,6))))*(157))/(96))/(86))))))*(77),5))**5",(log_5((e^(tan(sin(sin((((tan(cos(log_6((((((tan(((6 + 2))/(73)))*(191))^4)^3)/(51))^5))))*(157))/(96))/(86))))))*(77)))^5,138.450567704344
sin,"sin((log((exp(tan(sin(sin((((tan(cos(log((((((tan(((6 + 2))/(73)))*(191))**4)**3)/(51))**5,6))))*(157))/(96))/(86))))))*(77),5))**5)",sin((log_5((e^(tan(sin(sin((((tan(cos(log_6((((((tan(((6 + 2))/(73)))*(191))^4)^3)/(51))^5))))*(157))/(96))/(86))))))*(77)))^5),0.218708710094909
cos,"cos(sin((log((exp(tan(sin(sin((((tan(cos(log((((((tan(((6 + 2))/(73)))*(191))**4)**3)/(51))**5,6))))*(157))/(96))/(86))))))*(77),5))**5))",cos(sin((log_5((e^(tan(sin(sin((((tan(cos(log_6((((((tan(((6 + 2))/(73)))*(191))^4)^3)/(51))^5))))*(157))/(96))/(86))))))*(77)))^5)),0.976178433341526
cos,"cos(cos(sin((log((exp(tan(sin(sin((((tan(cos(log((((((tan(((6 + 2))/(73)))*(191))**4)**3)/(51))**5,6))))*(157))/(96))/(86))))))*(77),5))**5)))",cos(cos(sin((log_5((e^(tan(sin(sin((((tan(cos(log_6((((((tan(((6 + 2))/(73)))*(191))^4)^3)/(51))^5))))*(157))/(96))/(86))))))*(77)))^5))),0.560192272624801
