New op,SYMPY expression,Expression for LLM,Value
N/A,(7 - 2),(7 - 2),5.00000000000000
pow,((7 - 2))**4,((7 - 2))^4,625.000000000000
*,(((7 - 2))**4)*(199),(((7 - 2))^4)*(199),124375.000000000
*,((((7 - 2))**4)*(199))*(191),((((7 - 2))^4)*(199))*(191),23755625.0000000
/,(((((7 - 2))**4)*(199))*(191))/(83),(((((7 - 2))^4)*(199))*(191))/(83),286212.349397590
tan,tan((((((7 - 2))**4)*(199))*(191))/(83)),tan((((((7 - 2))^4)*(199))*(191))/(83)),0.829184774501675
/,(tan((((((7 - 2))**4)*(199))*(191))/(83)))/(53),(tan((((((7 - 2))^4)*(199))*(191))/(83)))/(53),0.0156449957453146
exp,exp((tan((((((7 - 2))**4)*(199))*(191))/(83)))/(53)),e^((tan((((((7 - 2))^4)*(199))*(191))/(83)))/(53)),1.01576801942223
sqrt,sqrt(exp((tan((((((7 - 2))**4)*(199))*(191))/(83)))/(53))),sqrt(e^((tan((((((7 - 2))^4)*(199))*(191))/(83)))/(53))),1.00785317354376
sin,sin(sqrt(exp((tan((((((7 - 2))**4)*(199))*(191))/(83)))/(53)))),sin(sqrt(e^((tan((((((7 - 2))^4)*(199))*(191))/(83)))/(53)))),0.845688081361831
pow,(sin(sqrt(exp((tan((((((7 - 2))**4)*(199))*(191))/(83)))/(53)))))**4,(sin(sqrt(e^((tan((((((7 - 2))^4)*(199))*(191))/(83)))/(53)))))^4,0.511494348737709
*,((sin(sqrt(exp((tan((((((7 - 2))**4)*(199))*(191))/(83)))/(53)))))**4)*(158),((sin(sqrt(e^((tan((((((7 - 2))^4)*(199))*(191))/(83)))/(53)))))^4)*(158),80.8161071005581
/,(((sin(sqrt(exp((tan((((((7 - 2))**4)*(199))*(191))/(83)))/(53)))))**4)*(158))/(198),(((sin(sqrt(e^((tan((((((7 - 2))^4)*(199))*(191))/(83)))/(53)))))^4)*(158))/(198),0.408162157073526
tan,tan((((sin(sqrt(exp((tan((((((7 - 2))**4)*(199))*(191))/(83)))/(53)))))**4)*(158))/(198)),tan((((sin(sqrt(e^((tan((((((7 - 2))^4)*(199))*(191))/(83)))/(53)))))^4)*(158))/(198)),0.432447926780273
cos,cos(tan((((sin(sqrt(exp((tan((((((7 - 2))**4)*(199))*(191))/(83)))/(53)))))**4)*(158))/(198))),cos(tan((((sin(sqrt(e^((tan((((((7 - 2))^4)*(199))*(191))/(83)))/(53)))))^4)*(158))/(198))),0.907942558075812
pow,(cos(tan((((sin(sqrt(exp((tan((((((7 - 2))**4)*(199))*(191))/(83)))/(53)))))**4)*(158))/(198))))**5,(cos(tan((((sin(sqrt(e^((tan((((((7 - 2))^4)*(199))*(191))/(83)))/(53)))))^4)*(158))/(198))))^5,0.617009522241683
log,"log((cos(tan((((sin(sqrt(exp((tan((((((7 - 2))**4)*(199))*(191))/(83)))/(53)))))**4)*(158))/(198))))**5,10)",log_10((cos(tan((((sin(sqrt(e^((tan((((((7 - 2))^4)*(199))*(191))/(83)))/(53)))))^4)*(158))/(198))))^5),-0.209708133494948
*,"(log((cos(tan((((sin(sqrt(exp((tan((((((7 - 2))**4)*(199))*(191))/(83)))/(53)))))**4)*(158))/(198))))**5,10))*(110)",(log_10((cos(tan((((sin(sqrt(e^((tan((((((7 - 2))^4)*(199))*(191))/(83)))/(53)))))^4)*(158))/(198))))^5))*(110),-23.0678946844442
tan,"tan((log((cos(tan((((sin(sqrt(exp((tan((((((7 - 2))**4)*(199))*(191))/(83)))/(53)))))**4)*(158))/(198))))**5,10))*(110))",tan((log_10((cos(tan((((sin(sqrt(e^((tan((((((7 - 2))^4)*(199))*(191))/(83)))/(53)))))^4)*(158))/(198))))^5))*(110)),-1.85665868999367
sin,"sin(tan((log((cos(tan((((sin(sqrt(exp((tan((((((7 - 2))**4)*(199))*(191))/(83)))/(53)))))**4)*(158))/(198))))**5,10))*(110)))",sin(tan((log_10((cos(tan((((sin(sqrt(e^((tan((((((7 - 2))^4)*(199))*(191))/(83)))/(53)))))^4)*(158))/(198))))^5))*(110))),-0.959418836012488
cos,"cos(sin(tan((log((cos(tan((((sin(sqrt(exp((tan((((((7 - 2))**4)*(199))*(191))/(83)))/(53)))))**4)*(158))/(198))))**5,10))*(110))))",cos(sin(tan((log_10((cos(tan((((sin(sqrt(e^((tan((((((7 - 2))^4)*(199))*(191))/(83)))/(53)))))^4)*(158))/(198))))^5))*(110)))),0.573995973830388
sin,"sin(cos(sin(tan((log((cos(tan((((sin(sqrt(exp((tan((((((7 - 2))**4)*(199))*(191))/(83)))/(53)))))**4)*(158))/(198))))**5,10))*(110)))))",sin(cos(sin(tan((log_10((cos(tan((((sin(sqrt(e^((tan((((((7 - 2))^4)*(199))*(191))/(83)))/(53)))))^4)*(158))/(198))))^5))*(110))))),0.542991945680886
pow,"(sin(cos(sin(tan((log((cos(tan((((sin(sqrt(exp((tan((((((7 - 2))**4)*(199))*(191))/(83)))/(53)))))**4)*(158))/(198))))**5,10))*(110))))))**3",(sin(cos(sin(tan((log_10((cos(tan((((sin(sqrt(e^((tan((((((7 - 2))^4)*(199))*(191))/(83)))/(53)))))^4)*(158))/(198))))^5))*(110))))))^3,0.160095882681867
exp,"exp((sin(cos(sin(tan((log((cos(tan((((sin(sqrt(exp((tan((((((7 - 2))**4)*(199))*(191))/(83)))/(53)))))**4)*(158))/(198))))**5,10))*(110))))))**3)",e^((sin(cos(sin(tan((log_10((cos(tan((((sin(sqrt(e^((tan((((((7 - 2))^4)*(199))*(191))/(83)))/(53)))))^4)*(158))/(198))))^5))*(110))))))^3),1.17362339575582
exp,"exp(exp((sin(cos(sin(tan((log((cos(tan((((sin(sqrt(exp((tan((((((7 - 2))**4)*(199))*(191))/(83)))/(53)))))**4)*(158))/(198))))**5,10))*(110))))))**3))",e^(e^((sin(cos(sin(tan((log_10((cos(tan((((sin(sqrt(e^((tan((((((7 - 2))^4)*(199))*(191))/(83)))/(53)))))^4)*(158))/(198))))^5))*(110))))))^3)),3.23368836931478
log,"log(exp(exp((sin(cos(sin(tan((log((cos(tan((((sin(sqrt(exp((tan((((((7 - 2))**4)*(199))*(191))/(83)))/(53)))))**4)*(158))/(198))))**5,10))*(110))))))**3)),5)",log_5(e^(e^((sin(cos(sin(tan((log_10((cos(tan((((sin(sqrt(e^((tan((((((7 - 2))^4)*(199))*(191))/(83)))/(53)))))^4)*(158))/(198))))^5))*(110))))))^3))),0.729213215799573
sin,"sin(log(exp(exp((sin(cos(sin(tan((log((cos(tan((((sin(sqrt(exp((tan((((((7 - 2))**4)*(199))*(191))/(83)))/(53)))))**4)*(158))/(198))))**5,10))*(110))))))**3)),5))",sin(log_5(e^(e^((sin(cos(sin(tan((log_10((cos(tan((((sin(sqrt(e^((tan((((((7 - 2))^4)*(199))*(191))/(83)))/(53)))))^4)*(158))/(198))))^5))*(110))))))^3)))),0.666283137211922
/,"(sin(log(exp(exp((sin(cos(sin(tan((log((cos(tan((((sin(sqrt(exp((tan((((((7 - 2))**4)*(199))*(191))/(83)))/(53)))))**4)*(158))/(198))))**5,10))*(110))))))**3)),5)))/(133)",(sin(log_5(e^(e^((sin(cos(sin(tan((log_10((cos(tan((((sin(sqrt(e^((tan((((((7 - 2))^4)*(199))*(191))/(83)))/(53)))))^4)*(158))/(198))))^5))*(110))))))^3)))))/(133),0.00500964764820994
pow,"((sin(log(exp(exp((sin(cos(sin(tan((log((cos(tan((((sin(sqrt(exp((tan((((((7 - 2))**4)*(199))*(191))/(83)))/(53)))))**4)*(158))/(198))))**5,10))*(110))))))**3)),5)))/(133))**4",((sin(log_5(e^(e^((sin(cos(sin(tan((log_10((cos(tan((((sin(sqrt(e^((tan((((((7 - 2))^4)*(199))*(191))/(83)))/(53)))))^4)*(158))/(198))))^5))*(110))))))^3)))))/(133))^4,6.29837803640537e-10
sin,"sin(((sin(log(exp(exp((sin(cos(sin(tan((log((cos(tan((((sin(sqrt(exp((tan((((((7 - 2))**4)*(199))*(191))/(83)))/(53)))))**4)*(158))/(198))))**5,10))*(110))))))**3)),5)))/(133))**4)",sin(((sin(log_5(e^(e^((sin(cos(sin(tan((log_10((cos(tan((((sin(sqrt(e^((tan((((((7 - 2))^4)*(199))*(191))/(83)))/(53)))))^4)*(158))/(198))))^5))*(110))))))^3)))))/(133))^4),6.29837803640537e-10
/,"(sin(((sin(log(exp(exp((sin(cos(sin(tan((log((cos(tan((((sin(sqrt(exp((tan((((((7 - 2))**4)*(199))*(191))/(83)))/(53)))))**4)*(158))/(198))))**5,10))*(110))))))**3)),5)))/(133))**4))/(61)",(sin(((sin(log_5(e^(e^((sin(cos(sin(tan((log_10((cos(tan((((sin(sqrt(e^((tan((((((7 - 2))^4)*(199))*(191))/(83)))/(53)))))^4)*(158))/(198))))^5))*(110))))))^3)))))/(133))^4))/(61),1.03252098957465e-11
/,"((sin(((sin(log(exp(exp((sin(cos(sin(tan((log((cos(tan((((sin(sqrt(exp((tan((((((7 - 2))**4)*(199))*(191))/(83)))/(53)))))**4)*(158))/(198))))**5,10))*(110))))))**3)),5)))/(133))**4))/(61))/(50)",((sin(((sin(log_5(e^(e^((sin(cos(sin(tan((log_10((cos(tan((((sin(sqrt(e^((tan((((((7 - 2))^4)*(199))*(191))/(83)))/(53)))))^4)*(158))/(198))))^5))*(110))))))^3)))))/(133))^4))/(61))/(50),2.06504197914930e-13
sqrt,"sqrt(((sin(((sin(log(exp(exp((sin(cos(sin(tan((log((cos(tan((((sin(sqrt(exp((tan((((((7 - 2))**4)*(199))*(191))/(83)))/(53)))))**4)*(158))/(198))))**5,10))*(110))))))**3)),5)))/(133))**4))/(61))/(50))",sqrt(((sin(((sin(log_5(e^(e^((sin(cos(sin(tan((log_10((cos(tan((((sin(sqrt(e^((tan((((((7 - 2))^4)*(199))*(191))/(83)))/(53)))))^4)*(158))/(198))))^5))*(110))))))^3)))))/(133))^4))/(61))/(50)),4.54427329630305e-7
/,"(sqrt(((sin(((sin(log(exp(exp((sin(cos(sin(tan((log((cos(tan((((sin(sqrt(exp((tan((((((7 - 2))**4)*(199))*(191))/(83)))/(53)))))**4)*(158))/(198))))**5,10))*(110))))))**3)),5)))/(133))**4))/(61))/(50)))/(115)",(sqrt(((sin(((sin(log_5(e^(e^((sin(cos(sin(tan((log_10((cos(tan((((sin(sqrt(e^((tan((((((7 - 2))^4)*(199))*(191))/(83)))/(53)))))^4)*(158))/(198))))^5))*(110))))))^3)))))/(133))^4))/(61))/(50)))/(115),3.95154199678526e-9
/,"((sqrt(((sin(((sin(log(exp(exp((sin(cos(sin(tan((log((cos(tan((((sin(sqrt(exp((tan((((((7 - 2))**4)*(199))*(191))/(83)))/(53)))))**4)*(158))/(198))))**5,10))*(110))))))**3)),5)))/(133))**4))/(61))/(50)))/(115))/(139)",((sqrt(((sin(((sin(log_5(e^(e^((sin(cos(sin(tan((log_10((cos(tan((((sin(sqrt(e^((tan((((((7 - 2))^4)*(199))*(191))/(83)))/(53)))))^4)*(158))/(198))))^5))*(110))))))^3)))))/(133))^4))/(61))/(50)))/(115))/(139),2.84283596891026e-11
exp,"exp(((sqrt(((sin(((sin(log(exp(exp((sin(cos(sin(tan((log((cos(tan((((sin(sqrt(exp((tan((((((7 - 2))**4)*(199))*(191))/(83)))/(53)))))**4)*(158))/(198))))**5,10))*(110))))))**3)),5)))/(133))**4))/(61))/(50)))/(115))/(139))",e^(((sqrt(((sin(((sin(log_5(e^(e^((sin(cos(sin(tan((log_10((cos(tan((((sin(sqrt(e^((tan((((((7 - 2))^4)*(199))*(191))/(83)))/(53)))))^4)*(158))/(198))))^5))*(110))))))^3)))))/(133))^4))/(61))/(50)))/(115))/(139)),1.00000000002843
tan,"tan(exp(((sqrt(((sin(((sin(log(exp(exp((sin(cos(sin(tan((log((cos(tan((((sin(sqrt(exp((tan((((((7 - 2))**4)*(199))*(191))/(83)))/(53)))))**4)*(158))/(198))))**5,10))*(110))))))**3)),5)))/(133))**4))/(61))/(50)))/(115))/(139)))",tan(e^(((sqrt(((sin(((sin(log_5(e^(e^((sin(cos(sin(tan((log_10((cos(tan((((sin(sqrt(e^((tan((((((7 - 2))^4)*(199))*(191))/(83)))/(53)))))^4)*(158))/(198))))^5))*(110))))))^3)))))/(133))^4))/(61))/(50)))/(115))/(139))),1.55740772475228
pow,"(tan(exp(((sqrt(((sin(((sin(log(exp(exp((sin(cos(sin(tan((log((cos(tan((((sin(sqrt(exp((tan((((((7 - 2))**4)*(199))*(191))/(83)))/(53)))))**4)*(158))/(198))))**5,10))*(110))))))**3)),5)))/(133))**4))/(61))/(50)))/(115))/(139))))**3",(tan(e^(((sqrt(((sin(((sin(log_5(e^(e^((sin(cos(sin(tan((log_10((cos(tan((((sin(sqrt(e^((tan((((((7 - 2))^4)*(199))*(191))/(83)))/(53)))))^4)*(158))/(198))))^5))*(110))))))^3)))))/(133))^4))/(61))/(50)))/(115))/(139))))^3,3.77752174854136
