New op,SYMPY expression,Expression for LLM,Value
N/A,(10 - 4),(10 - 4),6.00000000000000
acosh,acosh((10 - 4)),acosh((10 - 4)),2.47788873028848
*,(acosh((10 - 4)))*(65),(acosh((10 - 4)))*(65),161.062767468751
/,((acosh((10 - 4)))*(65))/(172),((acosh((10 - 4)))*(65))/(172),0.936411438771807
*,(((acosh((10 - 4)))*(65))/(172))*(65),(((acosh((10 - 4)))*(65))/(172))*(65),60.8667435201675
*,((((acosh((10 - 4)))*(65))/(172))*(65))*(186),((((acosh((10 - 4)))*(65))/(172))*(65))*(186),11321.2142947512
exp,exp(((((acosh((10 - 4)))*(65))/(172))*(65))*(186)),e^(((((acosh((10 - 4)))*(65))/(172))*(65))*(186)),5.50676640981417e+4916
tan,tan(exp(((((acosh((10 - 4)))*(65))/(172))*(65))*(186))),tan(e^(((((acosh((10 - 4)))*(65))/(172))*(65))*(186))),0.563824055429499
asin,asin(tan(exp(((((acosh((10 - 4)))*(65))/(172))*(65))*(186)))),asin(tan(e^(((((acosh((10 - 4)))*(65))/(172))*(65))*(186)))),0.599008717587855
acos,acos(asin(tan(exp(((((acosh((10 - 4)))*(65))/(172))*(65))*(186))))),acos(asin(tan(e^(((((acosh((10 - 4)))*(65))/(172))*(65))*(186))))),0.928533746101563
exp,exp(acos(asin(tan(exp(((((acosh((10 - 4)))*(65))/(172))*(65))*(186)))))),e^(acos(asin(tan(e^(((((acosh((10 - 4)))*(65))/(172))*(65))*(186)))))),2.53079566679571
cos,cos(exp(acos(asin(tan(exp(((((acosh((10 - 4)))*(65))/(172))*(65))*(186))))))),cos(e^(acos(asin(tan(e^(((((acosh((10 - 4)))*(65))/(172))*(65))*(186))))))),-0.819191189778098
exp,exp(cos(exp(acos(asin(tan(exp(((((acosh((10 - 4)))*(65))/(172))*(65))*(186)))))))),e^(cos(e^(acos(asin(tan(e^(((((acosh((10 - 4)))*(65))/(172))*(65))*(186)))))))),0.440788024228523
sin,sin(exp(cos(exp(acos(asin(tan(exp(((((acosh((10 - 4)))*(65))/(172))*(65))*(186))))))))),sin(e^(cos(e^(acos(asin(tan(e^(((((acosh((10 - 4)))*(65))/(172))*(65))*(186))))))))),0.426652298973221
atanh,atanh(sin(exp(cos(exp(acos(asin(tan(exp(((((acosh((10 - 4)))*(65))/(172))*(65))*(186)))))))))),atanh(sin(e^(cos(e^(acos(asin(tan(e^(((((acosh((10 - 4)))*(65))/(172))*(65))*(186)))))))))),0.455796794144018
exp,exp(atanh(sin(exp(cos(exp(acos(asin(tan(exp(((((acosh((10 - 4)))*(65))/(172))*(65))*(186))))))))))),e^(atanh(sin(e^(cos(e^(acos(asin(tan(e^(((((acosh((10 - 4)))*(65))/(172))*(65))*(186))))))))))),1.57742976922966
/,(exp(atanh(sin(exp(cos(exp(acos(asin(tan(exp(((((acosh((10 - 4)))*(65))/(172))*(65))*(186))))))))))))/(65),(e^(atanh(sin(e^(cos(e^(acos(asin(tan(e^(((((acosh((10 - 4)))*(65))/(172))*(65))*(186))))))))))))/(65),0.0242681502958409
asin,asin((exp(atanh(sin(exp(cos(exp(acos(asin(tan(exp(((((acosh((10 - 4)))*(65))/(172))*(65))*(186))))))))))))/(65)),asin((e^(atanh(sin(e^(cos(e^(acos(asin(tan(e^(((((acosh((10 - 4)))*(65))/(172))*(65))*(186))))))))))))/(65)),0.0242705330207289
sqrt,sqrt(asin((exp(atanh(sin(exp(cos(exp(acos(asin(tan(exp(((((acosh((10 - 4)))*(65))/(172))*(65))*(186))))))))))))/(65))),sqrt(asin((e^(atanh(sin(e^(cos(e^(acos(asin(tan(e^(((((acosh((10 - 4)))*(65))/(172))*(65))*(186))))))))))))/(65))),0.155790028630618
/,(sqrt(asin((exp(atanh(sin(exp(cos(exp(acos(asin(tan(exp(((((acosh((10 - 4)))*(65))/(172))*(65))*(186))))))))))))/(65))))/(55),(sqrt(asin((e^(atanh(sin(e^(cos(e^(acos(asin(tan(e^(((((acosh((10 - 4)))*(65))/(172))*(65))*(186))))))))))))/(65))))/(55),0.00283254597510215
*,((sqrt(asin((exp(atanh(sin(exp(cos(exp(acos(asin(tan(exp(((((acosh((10 - 4)))*(65))/(172))*(65))*(186))))))))))))/(65))))/(55))*(54),((sqrt(asin((e^(atanh(sin(e^(cos(e^(acos(asin(tan(e^(((((acosh((10 - 4)))*(65))/(172))*(65))*(186))))))))))))/(65))))/(55))*(54),0.152957482655516
pow,(((sqrt(asin((exp(atanh(sin(exp(cos(exp(acos(asin(tan(exp(((((acosh((10 - 4)))*(65))/(172))*(65))*(186))))))))))))/(65))))/(55))*(54))**5,(((sqrt(asin((e^(atanh(sin(e^(cos(e^(acos(asin(tan(e^(((((acosh((10 - 4)))*(65))/(172))*(65))*(186))))))))))))/(65))))/(55))*(54))^5,8.37247071755836e-5
pow,((((sqrt(asin((exp(atanh(sin(exp(cos(exp(acos(asin(tan(exp(((((acosh((10 - 4)))*(65))/(172))*(65))*(186))))))))))))/(65))))/(55))*(54))**5)**5,((((sqrt(asin((e^(atanh(sin(e^(cos(e^(acos(asin(tan(e^(((((acosh((10 - 4)))*(65))/(172))*(65))*(186))))))))))))/(65))))/(55))*(54))^5)^5,4.11403693532372e-21
cos,cos(((((sqrt(asin((exp(atanh(sin(exp(cos(exp(acos(asin(tan(exp(((((acosh((10 - 4)))*(65))/(172))*(65))*(186))))))))))))/(65))))/(55))*(54))**5)**5),cos(((((sqrt(asin((e^(atanh(sin(e^(cos(e^(acos(asin(tan(e^(((((acosh((10 - 4)))*(65))/(172))*(65))*(186))))))))))))/(65))))/(55))*(54))^5)^5),1.00000000000000
atan,atan(cos(((((sqrt(asin((exp(atanh(sin(exp(cos(exp(acos(asin(tan(exp(((((acosh((10 - 4)))*(65))/(172))*(65))*(186))))))))))))/(65))))/(55))*(54))**5)**5)),atan(cos(((((sqrt(asin((e^(atanh(sin(e^(cos(e^(acos(asin(tan(e^(((((acosh((10 - 4)))*(65))/(172))*(65))*(186))))))))))))/(65))))/(55))*(54))^5)^5)),0.785398163397448
sqrt,sqrt(atan(cos(((((sqrt(asin((exp(atanh(sin(exp(cos(exp(acos(asin(tan(exp(((((acosh((10 - 4)))*(65))/(172))*(65))*(186))))))))))))/(65))))/(55))*(54))**5)**5))),sqrt(atan(cos(((((sqrt(asin((e^(atanh(sin(e^(cos(e^(acos(asin(tan(e^(((((acosh((10 - 4)))*(65))/(172))*(65))*(186))))))))))))/(65))))/(55))*(54))^5)^5))),0.886226925452758
atan,atan(sqrt(atan(cos(((((sqrt(asin((exp(atanh(sin(exp(cos(exp(acos(asin(tan(exp(((((acosh((10 - 4)))*(65))/(172))*(65))*(186))))))))))))/(65))))/(55))*(54))**5)**5)))),atan(sqrt(atan(cos(((((sqrt(asin((e^(atanh(sin(e^(cos(e^(acos(asin(tan(e^(((((acosh((10 - 4)))*(65))/(172))*(65))*(186))))))))))))/(65))))/(55))*(54))^5)^5)))),0.725153345772920
asin,asin(atan(sqrt(atan(cos(((((sqrt(asin((exp(atanh(sin(exp(cos(exp(acos(asin(tan(exp(((((acosh((10 - 4)))*(65))/(172))*(65))*(186))))))))))))/(65))))/(55))*(54))**5)**5))))),asin(atan(sqrt(atan(cos(((((sqrt(asin((e^(atanh(sin(e^(cos(e^(acos(asin(tan(e^(((((acosh((10 - 4)))*(65))/(172))*(65))*(186))))))))))))/(65))))/(55))*(54))^5)^5))))),0.811257064342348
