New op,SYMPY expression,Expression for LLM,Value
N/A,(3 + 5),(3 + 5),8.00000000000000
exp,exp((3 + 5)),e^((3 + 5)),2980.95798704173
log,"log(exp((3 + 5)),4)",log_4(e^((3 + 5))),5.77078016355585
log,"log(log(exp((3 + 5)),4),4)",log_4(log_4(e^((3 + 5)))),1.26438318647245
sin,"sin(log(log(exp((3 + 5)),4),4))",sin(log_4(log_4(e^((3 + 5))))),0.953421643914917
atanh,"atanh(sin(log(log(exp((3 + 5)),4),4)))",atanh(sin(log_4(log_4(e^((3 + 5)))))),1.86810091576699
cos,"cos(atanh(sin(log(log(exp((3 + 5)),4),4))))",cos(atanh(sin(log_4(log_4(e^((3 + 5))))))),-0.292944111759166
sinh,"sinh(cos(atanh(sin(log(log(exp((3 + 5)),4),4)))))",sinh(cos(atanh(sin(log_4(log_4(e^((3 + 5)))))))),-0.297152020904086
exp,"exp(sinh(cos(atanh(sin(log(log(exp((3 + 5)),4),4))))))",e^(sinh(cos(atanh(sin(log_4(log_4(e^((3 + 5))))))))),0.742931062724975
/,"(exp(sinh(cos(atanh(sin(log(log(exp((3 + 5)),4),4)))))))/(112)",(e^(sinh(cos(atanh(sin(log_4(log_4(e^((3 + 5))))))))))/(112),0.00663331306004442
/,"((exp(sinh(cos(atanh(sin(log(log(exp((3 + 5)),4),4)))))))/(112))/(87)",((e^(sinh(cos(atanh(sin(log_4(log_4(e^((3 + 5))))))))))/(112))/(87),7.62449777016600e-5
sin,"sin(((exp(sinh(cos(atanh(sin(log(log(exp((3 + 5)),4),4)))))))/(112))/(87))",sin(((e^(sinh(cos(atanh(sin(log_4(log_4(e^((3 + 5))))))))))/(112))/(87)),7.62449776277876e-5
cos,"cos(sin(((exp(sinh(cos(atanh(sin(log(log(exp((3 + 5)),4),4)))))))/(112))/(87)))",cos(sin(((e^(sinh(cos(atanh(sin(log_4(log_4(e^((3 + 5))))))))))/(112))/(87))),0.999999997093352
tan,"tan(cos(sin(((exp(sinh(cos(atanh(sin(log(log(exp((3 + 5)),4),4)))))))/(112))/(87))))",tan(cos(sin(((e^(sinh(cos(atanh(sin(log_4(log_4(e^((3 + 5))))))))))/(112))/(87)))),1.55740771469812
cos,"cos(tan(cos(sin(((exp(sinh(cos(atanh(sin(log(log(exp((3 + 5)),4),4)))))))/(112))/(87)))))",cos(tan(cos(sin(((e^(sinh(cos(atanh(sin(log_4(log_4(e^((3 + 5))))))))))/(112))/(87))))),0.0133882121045618
acos,"acos(cos(tan(cos(sin(((exp(sinh(cos(atanh(sin(log(log(exp((3 + 5)),4),4)))))))/(112))/(87))))))",acos(cos(tan(cos(sin(((e^(sinh(cos(atanh(sin(log_4(log_4(e^((3 + 5))))))))))/(112))/(87)))))),1.55740771469812
sin,"sin(acos(cos(tan(cos(sin(((exp(sinh(cos(atanh(sin(log(log(exp((3 + 5)),4),4)))))))/(112))/(87)))))))",sin(acos(cos(tan(cos(sin(((e^(sinh(cos(atanh(sin(log_4(log_4(e^((3 + 5))))))))))/(112))/(87))))))),0.999910373871900
sin,"sin(sin(acos(cos(tan(cos(sin(((exp(sinh(cos(atanh(sin(log(log(exp((3 + 5)),4),4)))))))/(112))/(87))))))))",sin(sin(acos(cos(tan(cos(sin(((e^(sinh(cos(atanh(sin(log_4(log_4(e^((3 + 5))))))))))/(112))/(87)))))))),0.841422556224581
exp,"exp(sin(sin(acos(cos(tan(cos(sin(((exp(sinh(cos(atanh(sin(log(log(exp((3 + 5)),4),4)))))))/(112))/(87)))))))))",e^(sin(sin(acos(cos(tan(cos(sin(((e^(sinh(cos(atanh(sin(log_4(log_4(e^((3 + 5))))))))))/(112))/(87))))))))),2.31966448393090
