New op,SYMPY expression,Expression for LLM,Value
N/A,(4 * 6),(4 * 6),24.0000000000000
/,((4 * 6))/(117),((4 * 6))/(117),0.205128205128205
acos,acos(((4 * 6))/(117)),acos(((4 * 6))/(117)),1.36420163070230
sin,sin(acos(((4 * 6))/(117))),sin(acos(((4 * 6))/(117))),0.978735111999606
cosh,cosh(sin(acos(((4 * 6))/(117)))),cosh(sin(acos(((4 * 6))/(117)))),1.51843712975579
tanh,tanh(cosh(sin(acos(((4 * 6))/(117))))),tanh(cosh(sin(acos(((4 * 6))/(117))))),0.908424912149694
cos,cos(tanh(cosh(sin(acos(((4 * 6))/(117)))))),cos(tanh(cosh(sin(acos(((4 * 6))/(117)))))),0.614988525401496
tan,tan(cos(tanh(cosh(sin(acos(((4 * 6))/(117))))))),tan(cos(tanh(cosh(sin(acos(((4 * 6))/(117))))))),0.706370262031090
exp,exp(tan(cos(tanh(cosh(sin(acos(((4 * 6))/(117)))))))),e^(tan(cos(tanh(cosh(sin(acos(((4 * 6))/(117)))))))),2.02662178606509
sqrt,sqrt(exp(tan(cos(tanh(cosh(sin(acos(((4 * 6))/(117))))))))),sqrt(e^(tan(cos(tanh(cosh(sin(acos(((4 * 6))/(117))))))))),1.42359467056641
zeta,zeta(sqrt(exp(tan(cos(tanh(cosh(sin(acos(((4 * 6))/(117)))))))))),zeta(sqrt(e^(tan(cos(tanh(cosh(sin(acos(((4 * 6))/(117)))))))))),2.96791505576085
cos,cos(zeta(sqrt(exp(tan(cos(tanh(cosh(sin(acos(((4 * 6))/(117))))))))))),cos(zeta(sqrt(e^(tan(cos(tanh(cosh(sin(acos(((4 * 6))/(117))))))))))),-0.984955918798069
sinh,sinh(cos(zeta(sqrt(exp(tan(cos(tanh(cosh(sin(acos(((4 * 6))/(117)))))))))))),sinh(cos(zeta(sqrt(e^(tan(cos(tanh(cosh(sin(acos(((4 * 6))/(117)))))))))))),-1.15211907845342
