New op,SYMPY expression,Expression for LLM,Value
N/A,(10 - 4),(10 - 4),6.00000000000000
exp,exp((10 - 4)),e^((10 - 4)),403.428793492735
sqrt,sqrt(exp((10 - 4))),sqrt(e^((10 - 4))),20.0855369231877
sqrt,sqrt(sqrt(exp((10 - 4)))),sqrt(sqrt(e^((10 - 4)))),4.48168907033806
/,(sqrt(sqrt(exp((10 - 4)))))/(3),(sqrt(sqrt(e^((10 - 4)))))/(3),1.49389635677935
/,((sqrt(sqrt(exp((10 - 4)))))/(3))/(6),((sqrt(sqrt(e^((10 - 4)))))/(3))/(6),0.248982726129893
/,(((sqrt(sqrt(exp((10 - 4)))))/(3))/(6))/(6),(((sqrt(sqrt(e^((10 - 4)))))/(3))/(6))/(6),0.0414971210216488
*,((((sqrt(sqrt(exp((10 - 4)))))/(3))/(6))/(6))*(10),((((sqrt(sqrt(e^((10 - 4)))))/(3))/(6))/(6))*(10),0.414971210216487
sqrt,sqrt(((((sqrt(sqrt(exp((10 - 4)))))/(3))/(6))/(6))*(10)),sqrt(((((sqrt(sqrt(e^((10 - 4)))))/(3))/(6))/(6))*(10)),0.644182590743096
/,(sqrt(((((sqrt(sqrt(exp((10 - 4)))))/(3))/(6))/(6))*(10)))/(6),(sqrt(((((sqrt(sqrt(e^((10 - 4)))))/(3))/(6))/(6))*(10)))/(6),0.107363765123849
log,"log((sqrt(((((sqrt(sqrt(exp((10 - 4)))))/(3))/(6))/(6))*(10)))/(6),8)",log_8((sqrt(((((sqrt(sqrt(e^((10 - 4)))))/(3))/(6))/(6))*(10)))/(6)),-1.07314030789750
pow,"(log((sqrt(((((sqrt(sqrt(exp((10 - 4)))))/(3))/(6))/(6))*(10)))/(6),8))**5",(log_8((sqrt(((((sqrt(sqrt(e^((10 - 4)))))/(3))/(6))/(6))*(10)))/(6)))^5,-1.42325440911533
exp,"exp((log((sqrt(((((sqrt(sqrt(exp((10 - 4)))))/(3))/(6))/(6))*(10)))/(6),8))**5)",e^((log_8((sqrt(((((sqrt(sqrt(e^((10 - 4)))))/(3))/(6))/(6))*(10)))/(6)))^5),0.240928659227878
exp,"exp(exp((log((sqrt(((((sqrt(sqrt(exp((10 - 4)))))/(3))/(6))/(6))*(10)))/(6),8))**5))",e^(e^((log_8((sqrt(((((sqrt(sqrt(e^((10 - 4)))))/(3))/(6))/(6))*(10)))/(6)))^5)),1.27243025591320
*,"(exp(exp((log((sqrt(((((sqrt(sqrt(exp((10 - 4)))))/(3))/(6))/(6))*(10)))/(6),8))**5)))*(4)",(e^(e^((log_8((sqrt(((((sqrt(sqrt(e^((10 - 4)))))/(3))/(6))/(6))*(10)))/(6)))^5)))*(4),5.08972102365281
exp,"exp((exp(exp((log((sqrt(((((sqrt(sqrt(exp((10 - 4)))))/(3))/(6))/(6))*(10)))/(6),8))**5)))*(4))",e^((e^(e^((log_8((sqrt(((((sqrt(sqrt(e^((10 - 4)))))/(3))/(6))/(6))*(10)))/(6)))^5)))*(4)),162.344565441588
sqrt,"sqrt(exp((exp(exp((log((sqrt(((((sqrt(sqrt(exp((10 - 4)))))/(3))/(6))/(6))*(10)))/(6),8))**5)))*(4)))",sqrt(e^((e^(e^((log_8((sqrt(((((sqrt(sqrt(e^((10 - 4)))))/(3))/(6))/(6))*(10)))/(6)))^5)))*(4))),12.7414506804205
*,"(sqrt(exp((exp(exp((log((sqrt(((((sqrt(sqrt(exp((10 - 4)))))/(3))/(6))/(6))*(10)))/(6),8))**5)))*(4))))*(9)",(sqrt(e^((e^(e^((log_8((sqrt(((((sqrt(sqrt(e^((10 - 4)))))/(3))/(6))/(6))*(10)))/(6)))^5)))*(4))))*(9),114.673056123785
/,"((sqrt(exp((exp(exp((log((sqrt(((((sqrt(sqrt(exp((10 - 4)))))/(3))/(6))/(6))*(10)))/(6),8))**5)))*(4))))*(9))/(10)",((sqrt(e^((e^(e^((log_8((sqrt(((((sqrt(sqrt(e^((10 - 4)))))/(3))/(6))/(6))*(10)))/(6)))^5)))*(4))))*(9))/(10),11.4673056123785
sqrt,"sqrt(((sqrt(exp((exp(exp((log((sqrt(((((sqrt(sqrt(exp((10 - 4)))))/(3))/(6))/(6))*(10)))/(6),8))**5)))*(4))))*(9))/(10))",sqrt(((sqrt(e^((e^(e^((log_8((sqrt(((((sqrt(sqrt(e^((10 - 4)))))/(3))/(6))/(6))*(10)))/(6)))^5)))*(4))))*(9))/(10)),3.38634103604148
exp,"exp(sqrt(((sqrt(exp((exp(exp((log((sqrt(((((sqrt(sqrt(exp((10 - 4)))))/(3))/(6))/(6))*(10)))/(6),8))**5)))*(4))))*(9))/(10)))",e^(sqrt(((sqrt(e^((e^(e^((log_8((sqrt(((((sqrt(sqrt(e^((10 - 4)))))/(3))/(6))/(6))*(10)))/(6)))^5)))*(4))))*(9))/(10))),29.5576039623740
/,"(exp(sqrt(((sqrt(exp((exp(exp((log((sqrt(((((sqrt(sqrt(exp((10 - 4)))))/(3))/(6))/(6))*(10)))/(6),8))**5)))*(4))))*(9))/(10))))/(3)",(e^(sqrt(((sqrt(e^((e^(e^((log_8((sqrt(((((sqrt(sqrt(e^((10 - 4)))))/(3))/(6))/(6))*(10)))/(6)))^5)))*(4))))*(9))/(10))))/(3),9.85253465412467
/,"((exp(sqrt(((sqrt(exp((exp(exp((log((sqrt(((((sqrt(sqrt(exp((10 - 4)))))/(3))/(6))/(6))*(10)))/(6),8))**5)))*(4))))*(9))/(10))))/(3))/(7)",((e^(sqrt(((sqrt(e^((e^(e^((log_8((sqrt(((((sqrt(sqrt(e^((10 - 4)))))/(3))/(6))/(6))*(10)))/(6)))^5)))*(4))))*(9))/(10))))/(3))/(7),1.40750495058924
exp,"exp(((exp(sqrt(((sqrt(exp((exp(exp((log((sqrt(((((sqrt(sqrt(exp((10 - 4)))))/(3))/(6))/(6))*(10)))/(6),8))**5)))*(4))))*(9))/(10))))/(3))/(7))",e^(((e^(sqrt(((sqrt(e^((e^(e^((log_8((sqrt(((((sqrt(sqrt(e^((10 - 4)))))/(3))/(6))/(6))*(10)))/(6)))^5)))*(4))))*(9))/(10))))/(3))/(7)),4.08574853157439
exp,"exp(exp(((exp(sqrt(((sqrt(exp((exp(exp((log((sqrt(((((sqrt(sqrt(exp((10 - 4)))))/(3))/(6))/(6))*(10)))/(6),8))**5)))*(4))))*(9))/(10))))/(3))/(7)))",e^(e^(((e^(sqrt(((sqrt(e^((e^(e^((log_8((sqrt(((((sqrt(sqrt(e^((10 - 4)))))/(3))/(6))/(6))*(10)))/(6)))^5)))*(4))))*(9))/(10))))/(3))/(7))),59.4864485752941
sqrt,"sqrt(exp(exp(((exp(sqrt(((sqrt(exp((exp(exp((log((sqrt(((((sqrt(sqrt(exp((10 - 4)))))/(3))/(6))/(6))*(10)))/(6),8))**5)))*(4))))*(9))/(10))))/(3))/(7))))",sqrt(e^(e^(((e^(sqrt(((sqrt(e^((e^(e^((log_8((sqrt(((((sqrt(sqrt(e^((10 - 4)))))/(3))/(6))/(6))*(10)))/(6)))^5)))*(4))))*(9))/(10))))/(3))/(7)))),7.71274585185419
sqrt,"sqrt(sqrt(exp(exp(((exp(sqrt(((sqrt(exp((exp(exp((log((sqrt(((((sqrt(sqrt(exp((10 - 4)))))/(3))/(6))/(6))*(10)))/(6),8))**5)))*(4))))*(9))/(10))))/(3))/(7)))))",sqrt(sqrt(e^(e^(((e^(sqrt(((sqrt(e^((e^(e^((log_8((sqrt(((((sqrt(sqrt(e^((10 - 4)))))/(3))/(6))/(6))*(10)))/(6)))^5)))*(4))))*(9))/(10))))/(3))/(7))))),2.77718307856256
