New op,SYMPY expression,Expression for LLM,Value
N/A,(2 + 3),(2 + 3),5.00000000000000
exp,exp((2 + 3)),e^((2 + 3)),148.413159102577
log,"log(exp((2 + 3)),4)",log_4(e^((2 + 3))),3.60673760222241
exp,"exp(log(exp((2 + 3)),4))",e^(log_4(e^((2 + 3)))),36.8456513517942
sqrt,"sqrt(exp(log(exp((2 + 3)),4)))",sqrt(e^(log_4(e^((2 + 3))))),6.07006189027709
/,"(sqrt(exp(log(exp((2 + 3)),4))))/(1)",(sqrt(e^(log_4(e^((2 + 3))))))/(1),6.07006189027709
*,"((sqrt(exp(log(exp((2 + 3)),4))))/(1))*(7)",((sqrt(e^(log_4(e^((2 + 3))))))/(1))*(7),42.4904332319396
log,"log(((sqrt(exp(log(exp((2 + 3)),4))))/(1))*(7),4)",log_4(((sqrt(e^(log_4(e^((2 + 3))))))/(1))*(7)),2.70453307415731
/,"(log(((sqrt(exp(log(exp((2 + 3)),4))))/(1))*(7),4))/(4)",(log_4(((sqrt(e^(log_4(e^((2 + 3))))))/(1))*(7)))/(4),0.676133268539327
pow,"((log(((sqrt(exp(log(exp((2 + 3)),4))))/(1))*(7),4))/(4))**3",((log_4(((sqrt(e^(log_4(e^((2 + 3))))))/(1))*(7)))/(4))^3,0.309098513592750
*,"(((log(((sqrt(exp(log(exp((2 + 3)),4))))/(1))*(7),4))/(4))**3)*(7)",(((log_4(((sqrt(e^(log_4(e^((2 + 3))))))/(1))*(7)))/(4))^3)*(7),2.16368959514925
pow,"((((log(((sqrt(exp(log(exp((2 + 3)),4))))/(1))*(7),4))/(4))**3)*(7))**2",((((log_4(((sqrt(e^(log_4(e^((2 + 3))))))/(1))*(7)))/(4))^3)*(7))^2,4.68155266415713
*,"(((((log(((sqrt(exp(log(exp((2 + 3)),4))))/(1))*(7),4))/(4))**3)*(7))**2)*(9)",(((((log_4(((sqrt(e^(log_4(e^((2 + 3))))))/(1))*(7)))/(4))^3)*(7))^2)*(9),42.1339739774142
sqrt,"sqrt((((((log(((sqrt(exp(log(exp((2 + 3)),4))))/(1))*(7),4))/(4))**3)*(7))**2)*(9))",sqrt((((((log_4(((sqrt(e^(log_4(e^((2 + 3))))))/(1))*(7)))/(4))^3)*(7))^2)*(9)),6.49106878544776
log,"log(sqrt((((((log(((sqrt(exp(log(exp((2 + 3)),4))))/(1))*(7),4))/(4))**3)*(7))**2)*(9)),9)",log_9(sqrt((((((log_4(((sqrt(e^(log_4(e^((2 + 3))))))/(1))*(7)))/(4))^3)*(7))^2)*(9))),0.851268103560079
*,"(log(sqrt((((((log(((sqrt(exp(log(exp((2 + 3)),4))))/(1))*(7),4))/(4))**3)*(7))**2)*(9)),9))*(8)",(log_9(sqrt((((((log_4(((sqrt(e^(log_4(e^((2 + 3))))))/(1))*(7)))/(4))^3)*(7))^2)*(9))))*(8),6.81014482848063
/,"((log(sqrt((((((log(((sqrt(exp(log(exp((2 + 3)),4))))/(1))*(7),4))/(4))**3)*(7))**2)*(9)),9))*(8))/(6)",((log_9(sqrt((((((log_4(((sqrt(e^(log_4(e^((2 + 3))))))/(1))*(7)))/(4))^3)*(7))^2)*(9))))*(8))/(6),1.13502413808010
log,"log(((log(sqrt((((((log(((sqrt(exp(log(exp((2 + 3)),4))))/(1))*(7),4))/(4))**3)*(7))**2)*(9)),9))*(8))/(6),5)",log_5(((log_9(sqrt((((((log_4(((sqrt(e^(log_4(e^((2 + 3))))))/(1))*(7)))/(4))^3)*(7))^2)*(9))))*(8))/(6)),0.0786945036895551
exp,"exp(log(((log(sqrt((((((log(((sqrt(exp(log(exp((2 + 3)),4))))/(1))*(7),4))/(4))**3)*(7))**2)*(9)),9))*(8))/(6),5))",e^(log_5(((log_9(sqrt((((((log_4(((sqrt(e^(log_4(e^((2 + 3))))))/(1))*(7)))/(4))^3)*(7))^2)*(9))))*(8))/(6))),1.08187376313761
log,"log(exp(log(((log(sqrt((((((log(((sqrt(exp(log(exp((2 + 3)),4))))/(1))*(7),4))/(4))**3)*(7))**2)*(9)),9))*(8))/(6),5)),8)",log_8(e^(log_5(((log_9(sqrt((((((log_4(((sqrt(e^(log_4(e^((2 + 3))))))/(1))*(7)))/(4))^3)*(7))^2)*(9))))*(8))/(6)))),0.0378440567393798
sqrt,"sqrt(log(exp(log(((log(sqrt((((((log(((sqrt(exp(log(exp((2 + 3)),4))))/(1))*(7),4))/(4))**3)*(7))**2)*(9)),9))*(8))/(6),5)),8))",sqrt(log_8(e^(log_5(((log_9(sqrt((((((log_4(((sqrt(e^(log_4(e^((2 + 3))))))/(1))*(7)))/(4))^3)*(7))^2)*(9))))*(8))/(6))))),0.194535489665459
exp,"exp(sqrt(log(exp(log(((log(sqrt((((((log(((sqrt(exp(log(exp((2 + 3)),4))))/(1))*(7),4))/(4))**3)*(7))**2)*(9)),9))*(8))/(6),5)),8)))",e^(sqrt(log_8(e^(log_5(((log_9(sqrt((((((log_4(((sqrt(e^(log_4(e^((2 + 3))))))/(1))*(7)))/(4))^3)*(7))^2)*(9))))*(8))/(6)))))),1.21474659307026
*,"(exp(sqrt(log(exp(log(((log(sqrt((((((log(((sqrt(exp(log(exp((2 + 3)),4))))/(1))*(7),4))/(4))**3)*(7))**2)*(9)),9))*(8))/(6),5)),8))))*(6)",(e^(sqrt(log_8(e^(log_5(((log_9(sqrt((((((log_4(((sqrt(e^(log_4(e^((2 + 3))))))/(1))*(7)))/(4))^3)*(7))^2)*(9))))*(8))/(6)))))))*(6),7.28847955842157
