New op,SYMPY expression,Expression for LLM,Value
N/A,(4 * 6),(4 * 6),24.0000000000000
log,"log((4 * 6),2)",log_2((4 * 6)),4.58496250072116
/,"(log((4 * 6),2))/(10)",(log_2((4 * 6)))/(10),0.458496250072116
log,"log((log((4 * 6),2))/(10),6)",log_6((log_2((4 * 6)))/(10)),-0.435216433566162
*,"(log((log((4 * 6),2))/(10),6))*(2)",(log_6((log_2((4 * 6)))/(10)))*(2),-0.870432867132324
*,"((log((log((4 * 6),2))/(10),6))*(2))*(6)",((log_6((log_2((4 * 6)))/(10)))*(2))*(6),-5.22259720279395
/,"(((log((log((4 * 6),2))/(10),6))*(2))*(6))/(8)",(((log_6((log_2((4 * 6)))/(10)))*(2))*(6))/(8),-0.652824650349243
exp,"exp((((log((log((4 * 6),2))/(10),6))*(2))*(6))/(8))",e^((((log_6((log_2((4 * 6)))/(10)))*(2))*(6))/(8)),0.520573260626032
log,"log(exp((((log((log((4 * 6),2))/(10),6))*(2))*(6))/(8)),6)",log_6(e^((((log_6((log_2((4 * 6)))/(10)))*(2))*(6))/(8))),-0.364348374634515
/,"(log(exp((((log((log((4 * 6),2))/(10),6))*(2))*(6))/(8)),6))/(5)",(log_6(e^((((log_6((log_2((4 * 6)))/(10)))*(2))*(6))/(8))))/(5),-0.0728696749269030
exp,"exp((log(exp((((log((log((4 * 6),2))/(10),6))*(2))*(6))/(8)),6))/(5))",e^((log_6(e^((((log_6((log_2((4 * 6)))/(10)))*(2))*(6))/(8))))/(5)),0.929721988216720
sqrt,"sqrt(exp((log(exp((((log((log((4 * 6),2))/(10),6))*(2))*(6))/(8)),6))/(5)))",sqrt(e^((log_6(e^((((log_6((log_2((4 * 6)))/(10)))*(2))*(6))/(8))))/(5))),0.964220922930383
/,"(sqrt(exp((log(exp((((log((log((4 * 6),2))/(10),6))*(2))*(6))/(8)),6))/(5))))/(4)",(sqrt(e^((log_6(e^((((log_6((log_2((4 * 6)))/(10)))*(2))*(6))/(8))))/(5))))/(4),0.241055230732596
sqrt,"sqrt((sqrt(exp((log(exp((((log((log((4 * 6),2))/(10),6))*(2))*(6))/(8)),6))/(5))))/(4))",sqrt((sqrt(e^((log_6(e^((((log_6((log_2((4 * 6)))/(10)))*(2))*(6))/(8))))/(5))))/(4)),0.490973757682217
pow,"(sqrt((sqrt(exp((log(exp((((log((log((4 * 6),2))/(10),6))*(2))*(6))/(8)),6))/(5))))/(4)))**3",(sqrt((sqrt(e^((log_6(e^((((log_6((log_2((4 * 6)))/(10)))*(2))*(6))/(8))))/(5))))/(4)))^3,0.118351792441736
/,"((sqrt((sqrt(exp((log(exp((((log((log((4 * 6),2))/(10),6))*(2))*(6))/(8)),6))/(5))))/(4)))**3)/(7)",((sqrt((sqrt(e^((log_6(e^((((log_6((log_2((4 * 6)))/(10)))*(2))*(6))/(8))))/(5))))/(4)))^3)/(7),0.0169073989202480
log,"log(((sqrt((sqrt(exp((log(exp((((log((log((4 * 6),2))/(10),6))*(2))*(6))/(8)),6))/(5))))/(4)))**3)/(7),2)",log_2(((sqrt((sqrt(e^((log_6(e^((((log_6((log_2((4 * 6)))/(10)))*(2))*(6))/(8))))/(5))))/(4)))^3)/(7)),-5.88620146104378
exp,"exp(log(((sqrt((sqrt(exp((log(exp((((log((log((4 * 6),2))/(10),6))*(2))*(6))/(8)),6))/(5))))/(4)))**3)/(7),2))",e^(log_2(((sqrt((sqrt(e^((log_6(e^((((log_6((log_2((4 * 6)))/(10)))*(2))*(6))/(8))))/(5))))/(4)))^3)/(7))),0.00277750715320135
exp,"exp(exp(log(((sqrt((sqrt(exp((log(exp((((log((log((4 * 6),2))/(10),6))*(2))*(6))/(8)),6))/(5))))/(4)))**3)/(7),2)))",e^(e^(log_2(((sqrt((sqrt(e^((log_6(e^((((log_6((log_2((4 * 6)))/(10)))*(2))*(6))/(8))))/(5))))/(4)))^3)/(7)))),1.00278136799988
/,"(exp(exp(log(((sqrt((sqrt(exp((log(exp((((log((log((4 * 6),2))/(10),6))*(2))*(6))/(8)),6))/(5))))/(4)))**3)/(7),2))))/(5)",(e^(e^(log_2(((sqrt((sqrt(e^((log_6(e^((((log_6((log_2((4 * 6)))/(10)))*(2))*(6))/(8))))/(5))))/(4)))^3)/(7)))))/(5),0.200556273599975
exp,"exp((exp(exp(log(((sqrt((sqrt(exp((log(exp((((log((log((4 * 6),2))/(10),6))*(2))*(6))/(8)),6))/(5))))/(4)))**3)/(7),2))))/(5))",e^((e^(e^(log_2(((sqrt((sqrt(e^((log_6(e^((((log_6((log_2((4 * 6)))/(10)))*(2))*(6))/(8))))/(5))))/(4)))^3)/(7)))))/(5)),1.22208238128015
log,"log(exp((exp(exp(log(((sqrt((sqrt(exp((log(exp((((log((log((4 * 6),2))/(10),6))*(2))*(6))/(8)),6))/(5))))/(4)))**3)/(7),2))))/(5)),5)",log_5(e^((e^(e^(log_2(((sqrt((sqrt(e^((log_6(e^((((log_6((log_2((4 * 6)))/(10)))*(2))*(6))/(8))))/(5))))/(4)))^3)/(7)))))/(5))),0.124612619132760
log,"log(log(exp((exp(exp(log(((sqrt((sqrt(exp((log(exp((((log((log((4 * 6),2))/(10),6))*(2))*(6))/(8)),6))/(5))))/(4)))**3)/(7),2))))/(5)),5),7)",log_7(log_5(e^((e^(e^(log_2(((sqrt((sqrt(e^((log_6(e^((((log_6((log_2((4 * 6)))/(10)))*(2))*(6))/(8))))/(5))))/(4)))^3)/(7)))))/(5)))),-1.07021662928220
pow,"(log(log(exp((exp(exp(log(((sqrt((sqrt(exp((log(exp((((log((log((4 * 6),2))/(10),6))*(2))*(6))/(8)),6))/(5))))/(4)))**3)/(7),2))))/(5)),5),7))**3",(log_7(log_5(e^((e^(e^(log_2(((sqrt((sqrt(e^((log_6(e^((((log_6((log_2((4 * 6)))/(10)))*(2))*(6))/(8))))/(5))))/(4)))^3)/(7)))))/(5)))))^3,-1.22578720724542
/,"((log(log(exp((exp(exp(log(((sqrt((sqrt(exp((log(exp((((log((log((4 * 6),2))/(10),6))*(2))*(6))/(8)),6))/(5))))/(4)))**3)/(7),2))))/(5)),5),7))**3)/(10)",((log_7(log_5(e^((e^(e^(log_2(((sqrt((sqrt(e^((log_6(e^((((log_6((log_2((4 * 6)))/(10)))*(2))*(6))/(8))))/(5))))/(4)))^3)/(7)))))/(5)))))^3)/(10),-0.122578720724542
*,"(((log(log(exp((exp(exp(log(((sqrt((sqrt(exp((log(exp((((log((log((4 * 6),2))/(10),6))*(2))*(6))/(8)),6))/(5))))/(4)))**3)/(7),2))))/(5)),5),7))**3)/(10))*(6)",(((log_7(log_5(e^((e^(e^(log_2(((sqrt((sqrt(e^((log_6(e^((((log_6((log_2((4 * 6)))/(10)))*(2))*(6))/(8))))/(5))))/(4)))^3)/(7)))))/(5)))))^3)/(10))*(6),-0.735472324347254
pow,"((((log(log(exp((exp(exp(log(((sqrt((sqrt(exp((log(exp((((log((log((4 * 6),2))/(10),6))*(2))*(6))/(8)),6))/(5))))/(4)))**3)/(7),2))))/(5)),5),7))**3)/(10))*(6))**5",((((log_7(log_5(e^((e^(e^(log_2(((sqrt((sqrt(e^((log_6(e^((((log_6((log_2((4 * 6)))/(10)))*(2))*(6))/(8))))/(5))))/(4)))^3)/(7)))))/(5)))))^3)/(10))*(6))^5,-0.215194751485026
pow,"(((((log(log(exp((exp(exp(log(((sqrt((sqrt(exp((log(exp((((log((log((4 * 6),2))/(10),6))*(2))*(6))/(8)),6))/(5))))/(4)))**3)/(7),2))))/(5)),5),7))**3)/(10))*(6))**5)**3",(((((log_7(log_5(e^((e^(e^(log_2(((sqrt((sqrt(e^((log_6(e^((((log_6((log_2((4 * 6)))/(10)))*(2))*(6))/(8))))/(5))))/(4)))^3)/(7)))))/(5)))))^3)/(10))*(6))^5)^3,-0.00996540663322348
*,"((((((log(log(exp((exp(exp(log(((sqrt((sqrt(exp((log(exp((((log((log((4 * 6),2))/(10),6))*(2))*(6))/(8)),6))/(5))))/(4)))**3)/(7),2))))/(5)),5),7))**3)/(10))*(6))**5)**3)*(2)",((((((log_7(log_5(e^((e^(e^(log_2(((sqrt((sqrt(e^((log_6(e^((((log_6((log_2((4 * 6)))/(10)))*(2))*(6))/(8))))/(5))))/(4)))^3)/(7)))))/(5)))))^3)/(10))*(6))^5)^3)*(2),-0.0199308132664470
/,"(((((((log(log(exp((exp(exp(log(((sqrt((sqrt(exp((log(exp((((log((log((4 * 6),2))/(10),6))*(2))*(6))/(8)),6))/(5))))/(4)))**3)/(7),2))))/(5)),5),7))**3)/(10))*(6))**5)**3)*(2))/(3)",(((((((log_7(log_5(e^((e^(e^(log_2(((sqrt((sqrt(e^((log_6(e^((((log_6((log_2((4 * 6)))/(10)))*(2))*(6))/(8))))/(5))))/(4)))^3)/(7)))))/(5)))))^3)/(10))*(6))^5)^3)*(2))/(3),-0.00664360442214899
exp,"exp((((((((log(log(exp((exp(exp(log(((sqrt((sqrt(exp((log(exp((((log((log((4 * 6),2))/(10),6))*(2))*(6))/(8)),6))/(5))))/(4)))**3)/(7),2))))/(5)),5),7))**3)/(10))*(6))**5)**3)*(2))/(3))",e^((((((((log_7(log_5(e^((e^(e^(log_2(((sqrt((sqrt(e^((log_6(e^((((log_6((log_2((4 * 6)))/(10)))*(2))*(6))/(8))))/(5))))/(4)))^3)/(7)))))/(5)))))^3)/(10))*(6))^5)^3)*(2))/(3)),0.993378415526781
