New op,SYMPY expression,Expression for LLM,Value
N/A,(1 + 2),(1 + 2),3.00000000000000
/,((1 + 2))/(1),((1 + 2))/(1),3.00000000000000
pow,(((1 + 2))/(1))**2,(((1 + 2))/(1))^2,9.00000000000000
sqrt,sqrt((((1 + 2))/(1))**2),sqrt((((1 + 2))/(1))^2),3.00000000000000
log,"log(sqrt((((1 + 2))/(1))**2),5)",log_5(sqrt((((1 + 2))/(1))^2)),0.682606194485985
exp,"exp(log(sqrt((((1 + 2))/(1))**2),5))",e^(log_5(sqrt((((1 + 2))/(1))^2))),1.97902875085478
tan,"tan(exp(log(sqrt((((1 + 2))/(1))**2),5)))",tan(e^(log_5(sqrt((((1 + 2))/(1))^2)))),-2.31197121323098
exp,"exp(tan(exp(log(sqrt((((1 + 2))/(1))**2),5))))",e^(tan(e^(log_5(sqrt((((1 + 2))/(1))^2))))),0.0990657791894040
*,"(exp(tan(exp(log(sqrt((((1 + 2))/(1))**2),5)))))*(6)",(e^(tan(e^(log_5(sqrt((((1 + 2))/(1))^2))))))*(6),0.594394675136424
log,"log((exp(tan(exp(log(sqrt((((1 + 2))/(1))**2),5)))))*(6),5)",log_5((e^(tan(e^(log_5(sqrt((((1 + 2))/(1))^2))))))*(6)),-0.323225729917200
pow,"(log((exp(tan(exp(log(sqrt((((1 + 2))/(1))**2),5)))))*(6),5))**4",(log_5((e^(tan(e^(log_5(sqrt((((1 + 2))/(1))^2))))))*(6)))^4,0.0109149989798181
tan,"tan((log((exp(tan(exp(log(sqrt((((1 + 2))/(1))**2),5)))))*(6),5))**4)",tan((log_5((e^(tan(e^(log_5(sqrt((((1 + 2))/(1))^2))))))*(6)))^4),0.0109154324612911
tan,"tan(tan((log((exp(tan(exp(log(sqrt((((1 + 2))/(1))**2),5)))))*(6),5))**4))",tan(tan((log_5((e^(tan(e^(log_5(sqrt((((1 + 2))/(1))^2))))))*(6)))^4)),0.0109158659944139
sin,"sin(tan(tan((log((exp(tan(exp(log(sqrt((((1 + 2))/(1))**2),5)))))*(6),5))**4)))",sin(tan(tan((log_5((e^(tan(e^(log_5(sqrt((((1 + 2))/(1))^2))))))*(6)))^4))),0.0109156492136468
pow,"(sin(tan(tan((log((exp(tan(exp(log(sqrt((((1 + 2))/(1))**2),5)))))*(6),5))**4))))**3",(sin(tan(tan((log_5((e^(tan(e^(log_5(sqrt((((1 + 2))/(1))^2))))))*(6)))^4))))^3,1.30061486121352e-6
sin,"sin((sin(tan(tan((log((exp(tan(exp(log(sqrt((((1 + 2))/(1))**2),5)))))*(6),5))**4))))**3)",sin((sin(tan(tan((log_5((e^(tan(e^(log_5(sqrt((((1 + 2))/(1))^2))))))*(6)))^4))))^3),1.30061486121315e-6
sqrt,"sqrt(sin((sin(tan(tan((log((exp(tan(exp(log(sqrt((((1 + 2))/(1))**2),5)))))*(6),5))**4))))**3))",sqrt(sin((sin(tan(tan((log_5((e^(tan(e^(log_5(sqrt((((1 + 2))/(1))^2))))))*(6)))^4))))^3)),0.00114044502770329
log,"log(sqrt(sin((sin(tan(tan((log((exp(tan(exp(log(sqrt((((1 + 2))/(1))**2),5)))))*(6),5))**4))))**3)),10)",log_10(sqrt(sin((sin(tan(tan((log_5((e^(tan(e^(log_5(sqrt((((1 + 2))/(1))^2))))))*(6)))^4))))^3))),-2.94292564396077
*,"(log(sqrt(sin((sin(tan(tan((log((exp(tan(exp(log(sqrt((((1 + 2))/(1))**2),5)))))*(6),5))**4))))**3)),10))*(9)",(log_10(sqrt(sin((sin(tan(tan((log_5((e^(tan(e^(log_5(sqrt((((1 + 2))/(1))^2))))))*(6)))^4))))^3))))*(9),-26.4863307956469
sin,"sin((log(sqrt(sin((sin(tan(tan((log((exp(tan(exp(log(sqrt((((1 + 2))/(1))**2),5)))))*(6),5))**4))))**3)),10))*(9))",sin((log_10(sqrt(sin((sin(tan(tan((log_5((e^(tan(e^(log_5(sqrt((((1 + 2))/(1))^2))))))*(6)))^4))))^3))))*(9)),-0.976503209213096
tan,"tan(sin((log(sqrt(sin((sin(tan(tan((log((exp(tan(exp(log(sqrt((((1 + 2))/(1))**2),5)))))*(6),5))**4))))**3)),10))*(9)))",tan(sin((log_10(sqrt(sin((sin(tan(tan((log_5((e^(tan(e^(log_5(sqrt((((1 + 2))/(1))^2))))))*(6)))^4))))^3))))*(9))),-1.47974666804611
cos,"cos(tan(sin((log(sqrt(sin((sin(tan(tan((log((exp(tan(exp(log(sqrt((((1 + 2))/(1))**2),5)))))*(6),5))**4))))**3)),10))*(9))))",cos(tan(sin((log_10(sqrt(sin((sin(tan(tan((log_5((e^(tan(e^(log_5(sqrt((((1 + 2))/(1))^2))))))*(6)))^4))))^3))))*(9)))),0.0909239099922820
cos,"cos(cos(tan(sin((log(sqrt(sin((sin(tan(tan((log((exp(tan(exp(log(sqrt((((1 + 2))/(1))**2),5)))))*(6),5))**4))))**3)),10))*(9)))))",cos(cos(tan(sin((log_10(sqrt(sin((sin(tan(tan((log_5((e^(tan(e^(log_5(sqrt((((1 + 2))/(1))^2))))))*(6)))^4))))^3))))*(9))))),0.995869268256699
exp,"exp(cos(cos(tan(sin((log(sqrt(sin((sin(tan(tan((log((exp(tan(exp(log(sqrt((((1 + 2))/(1))**2),5)))))*(6),5))**4))))**3)),10))*(9))))))",e^(cos(cos(tan(sin((log_10(sqrt(sin((sin(tan(tan((log_5((e^(tan(e^(log_5(sqrt((((1 + 2))/(1))^2))))))*(6)))^4))))^3))))*(9)))))),2.70707649447039
sin,"sin(exp(cos(cos(tan(sin((log(sqrt(sin((sin(tan(tan((log((exp(tan(exp(log(sqrt((((1 + 2))/(1))**2),5)))))*(6),5))**4))))**3)),10))*(9)))))))",sin(e^(cos(cos(tan(sin((log_10(sqrt(sin((sin(tan(tan((log_5((e^(tan(e^(log_5(sqrt((((1 + 2))/(1))^2))))))*(6)))^4))))^3))))*(9))))))),0.420971571257411
pow,"(sin(exp(cos(cos(tan(sin((log(sqrt(sin((sin(tan(tan((log((exp(tan(exp(log(sqrt((((1 + 2))/(1))**2),5)))))*(6),5))**4))))**3)),10))*(9))))))))**2",(sin(e^(cos(cos(tan(sin((log_10(sqrt(sin((sin(tan(tan((log_5((e^(tan(e^(log_5(sqrt((((1 + 2))/(1))^2))))))*(6)))^4))))^3))))*(9))))))))^2,0.177217063806934
sin,"sin((sin(exp(cos(cos(tan(sin((log(sqrt(sin((sin(tan(tan((log((exp(tan(exp(log(sqrt((((1 + 2))/(1))**2),5)))))*(6),5))**4))))**3)),10))*(9))))))))**2)",sin((sin(e^(cos(cos(tan(sin((log_10(sqrt(sin((sin(tan(tan((log_5((e^(tan(e^(log_5(sqrt((((1 + 2))/(1))^2))))))*(6)))^4))))^3))))*(9))))))))^2),0.176290909471238
tan,"tan(sin((sin(exp(cos(cos(tan(sin((log(sqrt(sin((sin(tan(tan((log((exp(tan(exp(log(sqrt((((1 + 2))/(1))**2),5)))))*(6),5))**4))))**3)),10))*(9))))))))**2))",tan(sin((sin(e^(cos(cos(tan(sin((log_10(sqrt(sin((sin(tan(tan((log_5((e^(tan(e^(log_5(sqrt((((1 + 2))/(1))^2))))))*(6)))^4))))^3))))*(9))))))))^2)),0.178140186753741
