New op,SYMPY expression,Expression for LLM,Value
N/A,(3 * 7),(3 * 7),21.0000000000000
sqrt,sqrt((3 * 7)),sqrt((3 * 7)),4.58257569495584
exp,exp(sqrt((3 * 7))),e^(sqrt((3 * 7))),97.7658852834464
cos,cos(exp(sqrt((3 * 7)))),cos(e^(sqrt((3 * 7)))),-0.929952378594006
sin,sin(cos(exp(sqrt((3 * 7))))),sin(cos(e^(sqrt((3 * 7))))),-0.801591470280044
cos,cos(sin(cos(exp(sqrt((3 * 7)))))),cos(sin(cos(e^(sqrt((3 * 7)))))),0.695564176628809
exp,exp(cos(sin(cos(exp(sqrt((3 * 7))))))),e^(cos(sin(cos(e^(sqrt((3 * 7))))))),2.00483983871716
*,(exp(cos(sin(cos(exp(sqrt((3 * 7))))))))*(3),(e^(cos(sin(cos(e^(sqrt((3 * 7))))))))*(3),6.01451951615149
/,((exp(cos(sin(cos(exp(sqrt((3 * 7))))))))*(3))/(3),((e^(cos(sin(cos(e^(sqrt((3 * 7))))))))*(3))/(3),2.00483983871716
log,"log(((exp(cos(sin(cos(exp(sqrt((3 * 7))))))))*(3))/(3),8)",log_8(((e^(cos(sin(cos(e^(sqrt((3 * 7))))))))*(3))/(3)),0.334495662747466
exp,"exp(log(((exp(cos(sin(cos(exp(sqrt((3 * 7))))))))*(3))/(3),8))",e^(log_8(((e^(cos(sin(cos(e^(sqrt((3 * 7))))))))*(3))/(3))),1.39723552956680
tan,"tan(exp(log(((exp(cos(sin(cos(exp(sqrt((3 * 7))))))))*(3))/(3),8)))",tan(e^(log_8(((e^(cos(sin(cos(e^(sqrt((3 * 7))))))))*(3))/(3)))),5.70369966145184
log,"log(tan(exp(log(((exp(cos(sin(cos(exp(sqrt((3 * 7))))))))*(3))/(3),8))),4)",log_4(tan(e^(log_8(((e^(cos(sin(cos(e^(sqrt((3 * 7))))))))*(3))/(3))))),1.25594900804186
cos,"cos(log(tan(exp(log(((exp(cos(sin(cos(exp(sqrt((3 * 7))))))))*(3))/(3),8))),4))",cos(log_4(tan(e^(log_8(((e^(cos(sin(cos(e^(sqrt((3 * 7))))))))*(3))/(3)))))),0.309671298840271
exp,"exp(cos(log(tan(exp(log(((exp(cos(sin(cos(exp(sqrt((3 * 7))))))))*(3))/(3),8))),4)))",e^(cos(log_4(tan(e^(log_8(((e^(cos(sin(cos(e^(sqrt((3 * 7))))))))*(3))/(3))))))),1.36297702836315
/,"(exp(cos(log(tan(exp(log(((exp(cos(sin(cos(exp(sqrt((3 * 7))))))))*(3))/(3),8))),4))))/(3)",(e^(cos(log_4(tan(e^(log_8(((e^(cos(sin(cos(e^(sqrt((3 * 7))))))))*(3))/(3))))))))/(3),0.454325676121050
exp,"exp((exp(cos(log(tan(exp(log(((exp(cos(sin(cos(exp(sqrt((3 * 7))))))))*(3))/(3),8))),4))))/(3))",e^((e^(cos(log_4(tan(e^(log_8(((e^(cos(sin(cos(e^(sqrt((3 * 7))))))))*(3))/(3))))))))/(3)),1.57511088995693
pow,"(exp((exp(cos(log(tan(exp(log(((exp(cos(sin(cos(exp(sqrt((3 * 7))))))))*(3))/(3),8))),4))))/(3)))**2",(e^((e^(cos(log_4(tan(e^(log_8(((e^(cos(sin(cos(e^(sqrt((3 * 7))))))))*(3))/(3))))))))/(3)))^2,2.48097431566092
cos,"cos((exp((exp(cos(log(tan(exp(log(((exp(cos(sin(cos(exp(sqrt((3 * 7))))))))*(3))/(3),8))),4))))/(3)))**2)",cos((e^((e^(cos(log_4(tan(e^(log_8(((e^(cos(sin(cos(e^(sqrt((3 * 7))))))))*(3))/(3))))))))/(3)))^2),-0.789612967093599
cos,"cos(cos((exp((exp(cos(log(tan(exp(log(((exp(cos(sin(cos(exp(sqrt((3 * 7))))))))*(3))/(3),8))),4))))/(3)))**2))",cos(cos((e^((e^(cos(log_4(tan(e^(log_8(((e^(cos(sin(cos(e^(sqrt((3 * 7))))))))*(3))/(3))))))))/(3)))^2)),0.704120193020900
/,"(cos(cos((exp((exp(cos(log(tan(exp(log(((exp(cos(sin(cos(exp(sqrt((3 * 7))))))))*(3))/(3),8))),4))))/(3)))**2)))/(8)",(cos(cos((e^((e^(cos(log_4(tan(e^(log_8(((e^(cos(sin(cos(e^(sqrt((3 * 7))))))))*(3))/(3))))))))/(3)))^2)))/(8),0.0880150241276125
*,"((cos(cos((exp((exp(cos(log(tan(exp(log(((exp(cos(sin(cos(exp(sqrt((3 * 7))))))))*(3))/(3),8))),4))))/(3)))**2)))/(8))*(2)",((cos(cos((e^((e^(cos(log_4(tan(e^(log_8(((e^(cos(sin(cos(e^(sqrt((3 * 7))))))))*(3))/(3))))))))/(3)))^2)))/(8))*(2),0.176030048255225
pow,"(((cos(cos((exp((exp(cos(log(tan(exp(log(((exp(cos(sin(cos(exp(sqrt((3 * 7))))))))*(3))/(3),8))),4))))/(3)))**2)))/(8))*(2))**3",(((cos(cos((e^((e^(cos(log_4(tan(e^(log_8(((e^(cos(sin(cos(e^(sqrt((3 * 7))))))))*(3))/(3))))))))/(3)))^2)))/(8))*(2))^3,0.00545456880101863
pow,"((((cos(cos((exp((exp(cos(log(tan(exp(log(((exp(cos(sin(cos(exp(sqrt((3 * 7))))))))*(3))/(3),8))),4))))/(3)))**2)))/(8))*(2))**3)**3",((((cos(cos((e^((e^(cos(log_4(tan(e^(log_8(((e^(cos(sin(cos(e^(sqrt((3 * 7))))))))*(3))/(3))))))))/(3)))^2)))/(8))*(2))^3)^3,1.62286080821100e-7
cos,"cos(((((cos(cos((exp((exp(cos(log(tan(exp(log(((exp(cos(sin(cos(exp(sqrt((3 * 7))))))))*(3))/(3),8))),4))))/(3)))**2)))/(8))*(2))**3)**3)",cos(((((cos(cos((e^((e^(cos(log_4(tan(e^(log_8(((e^(cos(sin(cos(e^(sqrt((3 * 7))))))))*(3))/(3))))))))/(3)))^2)))/(8))*(2))^3)^3),0.999999999999987
log,"log(cos(((((cos(cos((exp((exp(cos(log(tan(exp(log(((exp(cos(sin(cos(exp(sqrt((3 * 7))))))))*(3))/(3),8))),4))))/(3)))**2)))/(8))*(2))**3)**3),6)",log_6(cos(((((cos(cos((e^((e^(cos(log_4(tan(e^(log_8(((e^(cos(sin(cos(e^(sqrt((3 * 7))))))))*(3))/(3))))))))/(3)))^2)))/(8))*(2))^3)^3)),-7.34941616901835e-15
pow,"(log(cos(((((cos(cos((exp((exp(cos(log(tan(exp(log(((exp(cos(sin(cos(exp(sqrt((3 * 7))))))))*(3))/(3),8))),4))))/(3)))**2)))/(8))*(2))**3)**3),6))**4",(log_6(cos(((((cos(cos((e^((e^(cos(log_4(tan(e^(log_8(((e^(cos(sin(cos(e^(sqrt((3 * 7))))))))*(3))/(3))))))))/(3)))^2)))/(8))*(2))^3)^3)))^4,2.91750334045770e-57
pow,"((log(cos(((((cos(cos((exp((exp(cos(log(tan(exp(log(((exp(cos(sin(cos(exp(sqrt((3 * 7))))))))*(3))/(3),8))),4))))/(3)))**2)))/(8))*(2))**3)**3),6))**4)**2",((log_6(cos(((((cos(cos((e^((e^(cos(log_4(tan(e^(log_8(((e^(cos(sin(cos(e^(sqrt((3 * 7))))))))*(3))/(3))))))))/(3)))^2)))/(8))*(2))^3)^3)))^4)^2,8.51182574158181e-114
exp,"exp(((log(cos(((((cos(cos((exp((exp(cos(log(tan(exp(log(((exp(cos(sin(cos(exp(sqrt((3 * 7))))))))*(3))/(3),8))),4))))/(3)))**2)))/(8))*(2))**3)**3),6))**4)**2)",e^(((log_6(cos(((((cos(cos((e^((e^(cos(log_4(tan(e^(log_8(((e^(cos(sin(cos(e^(sqrt((3 * 7))))))))*(3))/(3))))))))/(3)))^2)))/(8))*(2))^3)^3)))^4)^2),1.00000000000000
sqrt,"sqrt(exp(((log(cos(((((cos(cos((exp((exp(cos(log(tan(exp(log(((exp(cos(sin(cos(exp(sqrt((3 * 7))))))))*(3))/(3),8))),4))))/(3)))**2)))/(8))*(2))**3)**3),6))**4)**2))",sqrt(e^(((log_6(cos(((((cos(cos((e^((e^(cos(log_4(tan(e^(log_8(((e^(cos(sin(cos(e^(sqrt((3 * 7))))))))*(3))/(3))))))))/(3)))^2)))/(8))*(2))^3)^3)))^4)^2)),1.00000000000000
sin,"sin(sqrt(exp(((log(cos(((((cos(cos((exp((exp(cos(log(tan(exp(log(((exp(cos(sin(cos(exp(sqrt((3 * 7))))))))*(3))/(3),8))),4))))/(3)))**2)))/(8))*(2))**3)**3),6))**4)**2)))",sin(sqrt(e^(((log_6(cos(((((cos(cos((e^((e^(cos(log_4(tan(e^(log_8(((e^(cos(sin(cos(e^(sqrt((3 * 7))))))))*(3))/(3))))))))/(3)))^2)))/(8))*(2))^3)^3)))^4)^2))),0.841470984807897
exp,"exp(sin(sqrt(exp(((log(cos(((((cos(cos((exp((exp(cos(log(tan(exp(log(((exp(cos(sin(cos(exp(sqrt((3 * 7))))))))*(3))/(3),8))),4))))/(3)))**2)))/(8))*(2))**3)**3),6))**4)**2))))",e^(sin(sqrt(e^(((log_6(cos(((((cos(cos((e^((e^(cos(log_4(tan(e^(log_8(((e^(cos(sin(cos(e^(sqrt((3 * 7))))))))*(3))/(3))))))))/(3)))^2)))/(8))*(2))^3)^3)))^4)^2)))),2.31977682471585
sin,"sin(exp(sin(sqrt(exp(((log(cos(((((cos(cos((exp((exp(cos(log(tan(exp(log(((exp(cos(sin(cos(exp(sqrt((3 * 7))))))))*(3))/(3),8))),4))))/(3)))**2)))/(8))*(2))**3)**3),6))**4)**2)))))",sin(e^(sin(sqrt(e^(((log_6(cos(((((cos(cos((e^((e^(cos(log_4(tan(e^(log_8(((e^(cos(sin(cos(e^(sqrt((3 * 7))))))))*(3))/(3))))))))/(3)))^2)))/(8))*(2))^3)^3)))^4)^2))))),0.732383420633440
cos,"cos(sin(exp(sin(sqrt(exp(((log(cos(((((cos(cos((exp((exp(cos(log(tan(exp(log(((exp(cos(sin(cos(exp(sqrt((3 * 7))))))))*(3))/(3),8))),4))))/(3)))**2)))/(8))*(2))**3)**3),6))**4)**2))))))",cos(sin(e^(sin(sqrt(e^(((log_6(cos(((((cos(cos((e^((e^(cos(log_4(tan(e^(log_8(((e^(cos(sin(cos(e^(sqrt((3 * 7))))))))*(3))/(3))))))))/(3)))^2)))/(8))*(2))^3)^3)))^4)^2)))))),0.743582856448988
sqrt,"sqrt(cos(sin(exp(sin(sqrt(exp(((log(cos(((((cos(cos((exp((exp(cos(log(tan(exp(log(((exp(cos(sin(cos(exp(sqrt((3 * 7))))))))*(3))/(3),8))),4))))/(3)))**2)))/(8))*(2))**3)**3),6))**4)**2)))))))",sqrt(cos(sin(e^(sin(sqrt(e^(((log_6(cos(((((cos(cos((e^((e^(cos(log_4(tan(e^(log_8(((e^(cos(sin(cos(e^(sqrt((3 * 7))))))))*(3))/(3))))))))/(3)))^2)))/(8))*(2))^3)^3)))^4)^2))))))),0.862312505098348
exp,"exp(sqrt(cos(sin(exp(sin(sqrt(exp(((log(cos(((((cos(cos((exp((exp(cos(log(tan(exp(log(((exp(cos(sin(cos(exp(sqrt((3 * 7))))))))*(3))/(3),8))),4))))/(3)))**2)))/(8))*(2))**3)**3),6))**4)**2))))))))",e^(sqrt(cos(sin(e^(sin(sqrt(e^(((log_6(cos(((((cos(cos((e^((e^(cos(log_4(tan(e^(log_8(((e^(cos(sin(cos(e^(sqrt((3 * 7))))))))*(3))/(3))))))))/(3)))^2)))/(8))*(2))^3)^3)))^4)^2)))))))),2.36863183844510
exp,"exp(exp(sqrt(cos(sin(exp(sin(sqrt(exp(((log(cos(((((cos(cos((exp((exp(cos(log(tan(exp(log(((exp(cos(sin(cos(exp(sqrt((3 * 7))))))))*(3))/(3),8))),4))))/(3)))**2)))/(8))*(2))**3)**3),6))**4)**2)))))))))",e^(e^(sqrt(cos(sin(e^(sin(sqrt(e^(((log_6(cos(((((cos(cos((e^((e^(cos(log_4(tan(e^(log_8(((e^(cos(sin(cos(e^(sqrt((3 * 7))))))))*(3))/(3))))))))/(3)))^2)))/(8))*(2))^3)^3)))^4)^2))))))))),10.6827665307284
/,"(exp(exp(sqrt(cos(sin(exp(sin(sqrt(exp(((log(cos(((((cos(cos((exp((exp(cos(log(tan(exp(log(((exp(cos(sin(cos(exp(sqrt((3 * 7))))))))*(3))/(3),8))),4))))/(3)))**2)))/(8))*(2))**3)**3),6))**4)**2))))))))))/(4)",(e^(e^(sqrt(cos(sin(e^(sin(sqrt(e^(((log_6(cos(((((cos(cos((e^((e^(cos(log_4(tan(e^(log_8(((e^(cos(sin(cos(e^(sqrt((3 * 7))))))))*(3))/(3))))))))/(3)))^2)))/(8))*(2))^3)^3)))^4)^2))))))))))/(4),2.67069163268210
