New op,SYMPY expression,Expression for LLM,Value
N/A,(8 / 2),(8 / 2),4.00000000000000
*,((8 / 2))*(10),((8 / 2))*(10),40.0000000000000
tan,tan(((8 / 2))*(10)),tan(((8 / 2))*(10)),-1.11721493092390
/,(tan(((8 / 2))*(10)))/(5),(tan(((8 / 2))*(10)))/(5),-0.223442986184779
/,((tan(((8 / 2))*(10)))/(5))/(2),((tan(((8 / 2))*(10)))/(5))/(2),-0.111721493092390
*,(((tan(((8 / 2))*(10)))/(5))/(2))*(5),(((tan(((8 / 2))*(10)))/(5))/(2))*(5),-0.558607465461948
cos,cos((((tan(((8 / 2))*(10)))/(5))/(2))*(5)),cos((((tan(((8 / 2))*(10)))/(5))/(2))*(5)),0.847993984422819
exp,exp(cos((((tan(((8 / 2))*(10)))/(5))/(2))*(5))),e^(cos((((tan(((8 / 2))*(10)))/(5))/(2))*(5))),2.33495818823443
log,"log(exp(cos((((tan(((8 / 2))*(10)))/(5))/(2))*(5))),8)",log_8(e^(cos((((tan(((8 / 2))*(10)))/(5))/(2))*(5)))),0.407798905343491
/,"(log(exp(cos((((tan(((8 / 2))*(10)))/(5))/(2))*(5))),8))/(10)",(log_8(e^(cos((((tan(((8 / 2))*(10)))/(5))/(2))*(5)))))/(10),0.0407798905343491
cos,"cos((log(exp(cos((((tan(((8 / 2))*(10)))/(5))/(2))*(5))),8))/(10))",cos((log_8(e^(cos((((tan(((8 / 2))*(10)))/(5))/(2))*(5)))))/(10)),0.999168615489584
pow,"(cos((log(exp(cos((((tan(((8 / 2))*(10)))/(5))/(2))*(5))),8))/(10)))**2",(cos((log_8(e^(cos((((tan(((8 / 2))*(10)))/(5))/(2))*(5)))))/(10)))^2,0.998337922179373
pow,"((cos((log(exp(cos((((tan(((8 / 2))*(10)))/(5))/(2))*(5))),8))/(10)))**2)**3",((cos((log_8(e^(cos((((tan(((8 / 2))*(10)))/(5))/(2))*(5)))))/(10)))^2)^3,0.995022049454669
sin,"sin(((cos((log(exp(cos((((tan(((8 / 2))*(10)))/(5))/(2))*(5))),8))/(10)))**2)**3)",sin(((cos((log_8(e^(cos((((tan(((8 / 2))*(10)))/(5))/(2))*(5)))))/(10)))^2)^3),0.838770971957328
exp,"exp(sin(((cos((log(exp(cos((((tan(((8 / 2))*(10)))/(5))/(2))*(5))),8))/(10)))**2)**3))",e^(sin(((cos((log_8(e^(cos((((tan(((8 / 2))*(10)))/(5))/(2))*(5)))))/(10)))^2)^3)),2.31352184554068
sqrt,"sqrt(exp(sin(((cos((log(exp(cos((((tan(((8 / 2))*(10)))/(5))/(2))*(5))),8))/(10)))**2)**3)))",sqrt(e^(sin(((cos((log_8(e^(cos((((tan(((8 / 2))*(10)))/(5))/(2))*(5)))))/(10)))^2)^3))),1.52102657621117
pow,"(sqrt(exp(sin(((cos((log(exp(cos((((tan(((8 / 2))*(10)))/(5))/(2))*(5))),8))/(10)))**2)**3))))**3",(sqrt(e^(sin(((cos((log_8(e^(cos((((tan(((8 / 2))*(10)))/(5))/(2))*(5)))))/(10)))^2)^3))))^3,3.51892821171249
pow,"((sqrt(exp(sin(((cos((log(exp(cos((((tan(((8 / 2))*(10)))/(5))/(2))*(5))),8))/(10)))**2)**3))))**3)**3",((sqrt(e^(sin(((cos((log_8(e^(cos((((tan(((8 / 2))*(10)))/(5))/(2))*(5)))))/(10)))^2)^3))))^3)^3,43.5743804725665
/,"(((sqrt(exp(sin(((cos((log(exp(cos((((tan(((8 / 2))*(10)))/(5))/(2))*(5))),8))/(10)))**2)**3))))**3)**3)/(3)",(((sqrt(e^(sin(((cos((log_8(e^(cos((((tan(((8 / 2))*(10)))/(5))/(2))*(5)))))/(10)))^2)^3))))^3)^3)/(3),14.5247934908555
/,"((((sqrt(exp(sin(((cos((log(exp(cos((((tan(((8 / 2))*(10)))/(5))/(2))*(5))),8))/(10)))**2)**3))))**3)**3)/(3))/(10)",((((sqrt(e^(sin(((cos((log_8(e^(cos((((tan(((8 / 2))*(10)))/(5))/(2))*(5)))))/(10)))^2)^3))))^3)^3)/(3))/(10),1.45247934908555
sin,"sin(((((sqrt(exp(sin(((cos((log(exp(cos((((tan(((8 / 2))*(10)))/(5))/(2))*(5))),8))/(10)))**2)**3))))**3)**3)/(3))/(10))",sin(((((sqrt(e^(sin(((cos((log_8(e^(cos((((tan(((8 / 2))*(10)))/(5))/(2))*(5)))))/(10)))^2)^3))))^3)^3)/(3))/(10)),0.993008707975396
*,"(sin(((((sqrt(exp(sin(((cos((log(exp(cos((((tan(((8 / 2))*(10)))/(5))/(2))*(5))),8))/(10)))**2)**3))))**3)**3)/(3))/(10)))*(2)",(sin(((((sqrt(e^(sin(((cos((log_8(e^(cos((((tan(((8 / 2))*(10)))/(5))/(2))*(5)))))/(10)))^2)^3))))^3)^3)/(3))/(10)))*(2),1.98601741595079
sin,"sin((sin(((((sqrt(exp(sin(((cos((log(exp(cos((((tan(((8 / 2))*(10)))/(5))/(2))*(5))),8))/(10)))**2)**3))))**3)**3)/(3))/(10)))*(2))",sin((sin(((((sqrt(e^(sin(((cos((log_8(e^(cos((((tan(((8 / 2))*(10)))/(5))/(2))*(5)))))/(10)))^2)^3))))^3)^3)/(3))/(10)))*(2)),0.915027157208351
log,"log(sin((sin(((((sqrt(exp(sin(((cos((log(exp(cos((((tan(((8 / 2))*(10)))/(5))/(2))*(5))),8))/(10)))**2)**3))))**3)**3)/(3))/(10)))*(2)),8)",log_8(sin((sin(((((sqrt(e^(sin(((cos((log_8(e^(cos((((tan(((8 / 2))*(10)))/(5))/(2))*(5)))))/(10)))^2)^3))))^3)^3)/(3))/(10)))*(2))),-0.0427045109747089
sin,"sin(log(sin((sin(((((sqrt(exp(sin(((cos((log(exp(cos((((tan(((8 / 2))*(10)))/(5))/(2))*(5))),8))/(10)))**2)**3))))**3)**3)/(3))/(10)))*(2)),8))",sin(log_8(sin((sin(((((sqrt(e^(sin(((cos((log_8(e^(cos((((tan(((8 / 2))*(10)))/(5))/(2))*(5)))))/(10)))^2)^3))))^3)^3)/(3))/(10)))*(2)))),-0.0426915322982013
tan,"tan(sin(log(sin((sin(((((sqrt(exp(sin(((cos((log(exp(cos((((tan(((8 / 2))*(10)))/(5))/(2))*(5))),8))/(10)))**2)**3))))**3)**3)/(3))/(10)))*(2)),8)))",tan(sin(log_8(sin((sin(((((sqrt(e^(sin(((cos((log_8(e^(cos((((tan(((8 / 2))*(10)))/(5))/(2))*(5)))))/(10)))^2)^3))))^3)^3)/(3))/(10)))*(2))))),-0.0427174872785599
pow,"(tan(sin(log(sin((sin(((((sqrt(exp(sin(((cos((log(exp(cos((((tan(((8 / 2))*(10)))/(5))/(2))*(5))),8))/(10)))**2)**3))))**3)**3)/(3))/(10)))*(2)),8))))**3",(tan(sin(log_8(sin((sin(((((sqrt(e^(sin(((cos((log_8(e^(cos((((tan(((8 / 2))*(10)))/(5))/(2))*(5)))))/(10)))^2)^3))))^3)^3)/(3))/(10)))*(2))))))^3,-7.79501753193331e-5
pow,"((tan(sin(log(sin((sin(((((sqrt(exp(sin(((cos((log(exp(cos((((tan(((8 / 2))*(10)))/(5))/(2))*(5))),8))/(10)))**2)**3))))**3)**3)/(3))/(10)))*(2)),8))))**3)**2",((tan(sin(log_8(sin((sin(((((sqrt(e^(sin(((cos((log_8(e^(cos((((tan(((8 / 2))*(10)))/(5))/(2))*(5)))))/(10)))^2)^3))))^3)^3)/(3))/(10)))*(2))))))^3)^2,6.07622983231477e-9
/,"(((tan(sin(log(sin((sin(((((sqrt(exp(sin(((cos((log(exp(cos((((tan(((8 / 2))*(10)))/(5))/(2))*(5))),8))/(10)))**2)**3))))**3)**3)/(3))/(10)))*(2)),8))))**3)**2)/(1)",(((tan(sin(log_8(sin((sin(((((sqrt(e^(sin(((cos((log_8(e^(cos((((tan(((8 / 2))*(10)))/(5))/(2))*(5)))))/(10)))^2)^3))))^3)^3)/(3))/(10)))*(2))))))^3)^2)/(1),6.07622983231477e-9
exp,"exp((((tan(sin(log(sin((sin(((((sqrt(exp(sin(((cos((log(exp(cos((((tan(((8 / 2))*(10)))/(5))/(2))*(5))),8))/(10)))**2)**3))))**3)**3)/(3))/(10)))*(2)),8))))**3)**2)/(1))",e^((((tan(sin(log_8(sin((sin(((((sqrt(e^(sin(((cos((log_8(e^(cos((((tan(((8 / 2))*(10)))/(5))/(2))*(5)))))/(10)))^2)^3))))^3)^3)/(3))/(10)))*(2))))))^3)^2)/(1)),1.00000000607623
pow,"(exp((((tan(sin(log(sin((sin(((((sqrt(exp(sin(((cos((log(exp(cos((((tan(((8 / 2))*(10)))/(5))/(2))*(5))),8))/(10)))**2)**3))))**3)**3)/(3))/(10)))*(2)),8))))**3)**2)/(1)))**2",(e^((((tan(sin(log_8(sin((sin(((((sqrt(e^(sin(((cos((log_8(e^(cos((((tan(((8 / 2))*(10)))/(5))/(2))*(5)))))/(10)))^2)^3))))^3)^3)/(3))/(10)))*(2))))))^3)^2)/(1)))^2,1.00000001215246
