New op,SYMPY expression,Expression for LLM,Value
N/A,(10 - 4),(10 - 4),6.00000000000000
/,((10 - 4))/(4),((10 - 4))/(4),1.50000000000000
log,"log(((10 - 4))/(4),5)",log_5(((10 - 4))/(4)),0.251929636412592
sqrt,"sqrt(log(((10 - 4))/(4),5))",sqrt(log_5(((10 - 4))/(4))),0.501925927216947
sin,"sin(sqrt(log(((10 - 4))/(4),5)))",sin(sqrt(log_5(((10 - 4))/(4)))),0.481114808559125
tan,"tan(sin(sqrt(log(((10 - 4))/(4),5))))",tan(sin(sqrt(log_5(((10 - 4))/(4))))),0.522028629057387
/,"(tan(sin(sqrt(log(((10 - 4))/(4),5)))))/(8)",(tan(sin(sqrt(log_5(((10 - 4))/(4))))))/(8),0.0652535786321734
log,"log((tan(sin(sqrt(log(((10 - 4))/(4),5)))))/(8),2)",log_2((tan(sin(sqrt(log_5(((10 - 4))/(4))))))/(8)),-3.93779916574253
pow,"(log((tan(sin(sqrt(log(((10 - 4))/(4),5)))))/(8),2))**2",(log_2((tan(sin(sqrt(log_5(((10 - 4))/(4))))))/(8)))^2,15.5062622697226
cos,"cos((log((tan(sin(sqrt(log(((10 - 4))/(4),5)))))/(8),2))**2)",cos((log_2((tan(sin(sqrt(log_5(((10 - 4))/(4))))))/(8)))^2),-0.979727223965373
pow,"(cos((log((tan(sin(sqrt(log(((10 - 4))/(4),5)))))/(8),2))**2))**3",(cos((log_2((tan(sin(sqrt(log_5(((10 - 4))/(4))))))/(8)))^2))^3,-0.940406296424625
atan,"atan((cos((log((tan(sin(sqrt(log(((10 - 4))/(4),5)))))/(8),2))**2))**3)",atan((cos((log_2((tan(sin(sqrt(log_5(((10 - 4))/(4))))))/(8)))^2))^3),-0.754695842177146
pow,"(atan((cos((log((tan(sin(sqrt(log(((10 - 4))/(4),5)))))/(8),2))**2))**3))**2",(atan((cos((log_2((tan(sin(sqrt(log_5(((10 - 4))/(4))))))/(8)))^2))^3))^2,0.569565814199472
sqrt,"sqrt((atan((cos((log((tan(sin(sqrt(log(((10 - 4))/(4),5)))))/(8),2))**2))**3))**2)",sqrt((atan((cos((log_2((tan(sin(sqrt(log_5(((10 - 4))/(4))))))/(8)))^2))^3))^2),0.754695842177146
asin,"asin(sqrt((atan((cos((log((tan(sin(sqrt(log(((10 - 4))/(4),5)))))/(8),2))**2))**3))**2))",asin(sqrt((atan((cos((log_2((tan(sin(sqrt(log_5(((10 - 4))/(4))))))/(8)))^2))^3))^2)),0.855190393470978
/,"(asin(sqrt((atan((cos((log((tan(sin(sqrt(log(((10 - 4))/(4),5)))))/(8),2))**2))**3))**2)))/(2)",(asin(sqrt((atan((cos((log_2((tan(sin(sqrt(log_5(((10 - 4))/(4))))))/(8)))^2))^3))^2)))/(2),0.427595196735489
log,"log((asin(sqrt((atan((cos((log((tan(sin(sqrt(log(((10 - 4))/(4),5)))))/(8),2))**2))**3))**2)))/(2),6)",log_6((asin(sqrt((atan((cos((log_2((tan(sin(sqrt(log_5(((10 - 4))/(4))))))/(8)))^2))^3))^2)))/(2)),-0.474158695720023
sin,"sin(log((asin(sqrt((atan((cos((log((tan(sin(sqrt(log(((10 - 4))/(4),5)))))/(8),2))**2))**3))**2)))/(2),6))",sin(log_6((asin(sqrt((atan((cos((log_2((tan(sin(sqrt(log_5(((10 - 4))/(4))))))/(8)))^2))^3))^2)))/(2))),-0.456590119643918
/,"(sin(log((asin(sqrt((atan((cos((log((tan(sin(sqrt(log(((10 - 4))/(4),5)))))/(8),2))**2))**3))**2)))/(2),6)))/(6)",(sin(log_6((asin(sqrt((atan((cos((log_2((tan(sin(sqrt(log_5(((10 - 4))/(4))))))/(8)))^2))^3))^2)))/(2))))/(6),-0.0760983532739863
acos,"acos((sin(log((asin(sqrt((atan((cos((log((tan(sin(sqrt(log(((10 - 4))/(4),5)))))/(8),2))**2))**3))**2)))/(2),6)))/(6))",acos((sin(log_6((asin(sqrt((atan((cos((log_2((tan(sin(sqrt(log_5(((10 - 4))/(4))))))/(8)))^2))^3))^2)))/(2))))/(6)),1.64696831920798
sin,"sin(acos((sin(log((asin(sqrt((atan((cos((log((tan(sin(sqrt(log(((10 - 4))/(4),5)))))/(8),2))**2))**3))**2)))/(2),6)))/(6)))",sin(acos((sin(log_6((asin(sqrt((atan((cos((log_2((tan(sin(sqrt(log_5(((10 - 4))/(4))))))/(8)))^2))^3))^2)))/(2))))/(6))),0.997100316231515
acos,"acos(sin(acos((sin(log((asin(sqrt((atan((cos((log((tan(sin(sqrt(log(((10 - 4))/(4),5)))))/(8),2))**2))**3))**2)))/(2),6)))/(6))))",acos(sin(acos((sin(log_6((asin(sqrt((atan((cos((log_2((tan(sin(sqrt(log_5(((10 - 4))/(4))))))/(8)))^2))^3))^2)))/(2))))/(6)))),0.0761719924130869
sin,"sin(acos(sin(acos((sin(log((asin(sqrt((atan((cos((log((tan(sin(sqrt(log(((10 - 4))/(4),5)))))/(8),2))**2))**3))**2)))/(2),6)))/(6)))))",sin(acos(sin(acos((sin(log_6((asin(sqrt((atan((cos((log_2((tan(sin(sqrt(log_5(((10 - 4))/(4))))))/(8)))^2))^3))^2)))/(2))))/(6))))),0.0760983532739863
sin,"sin(sin(acos(sin(acos((sin(log((asin(sqrt((atan((cos((log((tan(sin(sqrt(log(((10 - 4))/(4),5)))))/(8),2))**2))**3))**2)))/(2),6)))/(6))))))",sin(sin(acos(sin(acos((sin(log_6((asin(sqrt((atan((cos((log_2((tan(sin(sqrt(log_5(((10 - 4))/(4))))))/(8)))^2))^3))^2)))/(2))))/(6)))))),0.0760249274588383
sqrt,"sqrt(sin(sin(acos(sin(acos((sin(log((asin(sqrt((atan((cos((log((tan(sin(sqrt(log(((10 - 4))/(4),5)))))/(8),2))**2))**3))**2)))/(2),6)))/(6)))))))",sqrt(sin(sin(acos(sin(acos((sin(log_6((asin(sqrt((atan((cos((log_2((tan(sin(sqrt(log_5(((10 - 4))/(4))))))/(8)))^2))^3))^2)))/(2))))/(6))))))),0.275726182033623
log,"log(sqrt(sin(sin(acos(sin(acos((sin(log((asin(sqrt((atan((cos((log((tan(sin(sqrt(log(((10 - 4))/(4),5)))))/(8),2))**2))**3))**2)))/(2),6)))/(6))))))),7)",log_7(sqrt(sin(sin(acos(sin(acos((sin(log_6((asin(sqrt((atan((cos((log_2((tan(sin(sqrt(log_5(((10 - 4))/(4))))))/(8)))^2))^3))^2)))/(2))))/(6)))))))),-0.662079387592787
/,"(log(sqrt(sin(sin(acos(sin(acos((sin(log((asin(sqrt((atan((cos((log((tan(sin(sqrt(log(((10 - 4))/(4),5)))))/(8),2))**2))**3))**2)))/(2),6)))/(6))))))),7))/(9)",(log_7(sqrt(sin(sin(acos(sin(acos((sin(log_6((asin(sqrt((atan((cos((log_2((tan(sin(sqrt(log_5(((10 - 4))/(4))))))/(8)))^2))^3))^2)))/(2))))/(6)))))))))/(9),-0.0735643763991985
