New op,SYMPY expression,Expression for LLM,Value
N/A,(3 * 7),(3 * 7),21.0000000000000
tan,tan((3 * 7)),tan((3 * 7)),-1.52749852763660
pow,(tan((3 * 7)))**2,(tan((3 * 7)))^2,2.33325175193199
sqrt,sqrt((tan((3 * 7)))**2),sqrt((tan((3 * 7)))^2),1.52749852763660
log,"log(sqrt((tan((3 * 7)))**2),10)",log_10(sqrt((tan((3 * 7)))^2)),0.183980800296191
sqrt,"sqrt(log(sqrt((tan((3 * 7)))**2),10))",sqrt(log_10(sqrt((tan((3 * 7)))^2))),0.428929831436555
*,"(sqrt(log(sqrt((tan((3 * 7)))**2),10)))*(9)",(sqrt(log_10(sqrt((tan((3 * 7)))^2))))*(9),3.86036848292899
pow,"((sqrt(log(sqrt((tan((3 * 7)))**2),10)))*(9))**4",((sqrt(log_10(sqrt((tan((3 * 7)))^2))))*(9))^4,222.082861732111
cos,"cos(((sqrt(log(sqrt((tan((3 * 7)))**2),10)))*(9))**4)",cos(((sqrt(log_10(sqrt((tan((3 * 7)))^2))))*(9))^4),-0.565120787624554
cos,"cos(cos(((sqrt(log(sqrt((tan((3 * 7)))**2),10)))*(9))**4))",cos(cos(((sqrt(log_10(sqrt((tan((3 * 7)))^2))))*(9))^4)),0.844523922657820
cos,"cos(cos(cos(((sqrt(log(sqrt((tan((3 * 7)))**2),10)))*(9))**4)))",cos(cos(cos(((sqrt(log_10(sqrt((tan((3 * 7)))^2))))*(9))^4))),0.664087299355327
sqrt,"sqrt(cos(cos(cos(((sqrt(log(sqrt((tan((3 * 7)))**2),10)))*(9))**4))))",sqrt(cos(cos(cos(((sqrt(log_10(sqrt((tan((3 * 7)))^2))))*(9))^4)))),0.814915516698097
pow,"(sqrt(cos(cos(cos(((sqrt(log(sqrt((tan((3 * 7)))**2),10)))*(9))**4)))))**3",(sqrt(cos(cos(cos(((sqrt(log_10(sqrt((tan((3 * 7)))^2))))*(9))^4)))))^3,0.541175044686790
log,"log((sqrt(cos(cos(cos(((sqrt(log(sqrt((tan((3 * 7)))**2),10)))*(9))**4)))))**3,2)",log_2((sqrt(cos(cos(cos(((sqrt(log_10(sqrt((tan((3 * 7)))^2))))*(9))^4)))))^3),-0.885832781324397
acos,"acos(log((sqrt(cos(cos(cos(((sqrt(log(sqrt((tan((3 * 7)))**2),10)))*(9))**4)))))**3,2))",acos(log_2((sqrt(cos(cos(cos(((sqrt(log_10(sqrt((tan((3 * 7)))^2))))*(9))^4)))))^3)),2.65908204397389
atan,"atan(acos(log((sqrt(cos(cos(cos(((sqrt(log(sqrt((tan((3 * 7)))**2),10)))*(9))**4)))))**3,2)))",atan(acos(log_2((sqrt(cos(cos(cos(((sqrt(log_10(sqrt((tan((3 * 7)))^2))))*(9))^4)))))^3))),1.21108822878327
tan,"tan(atan(acos(log((sqrt(cos(cos(cos(((sqrt(log(sqrt((tan((3 * 7)))**2),10)))*(9))**4)))))**3,2))))",tan(atan(acos(log_2((sqrt(cos(cos(cos(((sqrt(log_10(sqrt((tan((3 * 7)))^2))))*(9))^4)))))^3)))),2.65908204397389
pow,"(tan(atan(acos(log((sqrt(cos(cos(cos(((sqrt(log(sqrt((tan((3 * 7)))**2),10)))*(9))**4)))))**3,2)))))**3",(tan(atan(acos(log_2((sqrt(cos(cos(cos(((sqrt(log_10(sqrt((tan((3 * 7)))^2))))*(9))^4)))))^3)))))^3,18.8016174545448
sqrt,"sqrt((tan(atan(acos(log((sqrt(cos(cos(cos(((sqrt(log(sqrt((tan((3 * 7)))**2),10)))*(9))**4)))))**3,2)))))**3)",sqrt((tan(atan(acos(log_2((sqrt(cos(cos(cos(((sqrt(log_10(sqrt((tan((3 * 7)))^2))))*(9))^4)))))^3)))))^3),4.33608319276104
atan,"atan(sqrt((tan(atan(acos(log((sqrt(cos(cos(cos(((sqrt(log(sqrt((tan((3 * 7)))**2),10)))*(9))**4)))))**3,2)))))**3))",atan(sqrt((tan(atan(acos(log_2((sqrt(cos(cos(cos(((sqrt(log_10(sqrt((tan((3 * 7)))^2))))*(9))^4)))))^3)))))^3)),1.34413643285687
log,"log(atan(sqrt((tan(atan(acos(log((sqrt(cos(cos(cos(((sqrt(log(sqrt((tan((3 * 7)))**2),10)))*(9))**4)))))**3,2)))))**3)),9)",log_9(atan(sqrt((tan(atan(acos(log_2((sqrt(cos(cos(cos(((sqrt(log_10(sqrt((tan((3 * 7)))^2))))*(9))^4)))))^3)))))^3))),0.134602421865212
acos,"acos(log(atan(sqrt((tan(atan(acos(log((sqrt(cos(cos(cos(((sqrt(log(sqrt((tan((3 * 7)))**2),10)))*(9))**4)))))**3,2)))))**3)),9))",acos(log_9(atan(sqrt((tan(atan(acos(log_2((sqrt(cos(cos(cos(((sqrt(log_10(sqrt((tan((3 * 7)))^2))))*(9))^4)))))^3)))))^3)))),1.43578410472239
cos,"cos(acos(log(atan(sqrt((tan(atan(acos(log((sqrt(cos(cos(cos(((sqrt(log(sqrt((tan((3 * 7)))**2),10)))*(9))**4)))))**3,2)))))**3)),9)))",cos(acos(log_9(atan(sqrt((tan(atan(acos(log_2((sqrt(cos(cos(cos(((sqrt(log_10(sqrt((tan((3 * 7)))^2))))*(9))^4)))))^3)))))^3))))),0.134602421865212
asin,"asin(cos(acos(log(atan(sqrt((tan(atan(acos(log((sqrt(cos(cos(cos(((sqrt(log(sqrt((tan((3 * 7)))**2),10)))*(9))**4)))))**3,2)))))**3)),9))))",asin(cos(acos(log_9(atan(sqrt((tan(atan(acos(log_2((sqrt(cos(cos(cos(((sqrt(log_10(sqrt((tan((3 * 7)))^2))))*(9))^4)))))^3)))))^3)))))),0.135012222072506
*,"(asin(cos(acos(log(atan(sqrt((tan(atan(acos(log((sqrt(cos(cos(cos(((sqrt(log(sqrt((tan((3 * 7)))**2),10)))*(9))**4)))))**3,2)))))**3)),9)))))*(8)",(asin(cos(acos(log_9(atan(sqrt((tan(atan(acos(log_2((sqrt(cos(cos(cos(((sqrt(log_10(sqrt((tan((3 * 7)))^2))))*(9))^4)))))^3)))))^3)))))))*(8),1.08009777658005
*,"((asin(cos(acos(log(atan(sqrt((tan(atan(acos(log((sqrt(cos(cos(cos(((sqrt(log(sqrt((tan((3 * 7)))**2),10)))*(9))**4)))))**3,2)))))**3)),9)))))*(8))*(10)",((asin(cos(acos(log_9(atan(sqrt((tan(atan(acos(log_2((sqrt(cos(cos(cos(((sqrt(log_10(sqrt((tan((3 * 7)))^2))))*(9))^4)))))^3)))))^3)))))))*(8))*(10),10.8009777658005
cos,"cos(((asin(cos(acos(log(atan(sqrt((tan(atan(acos(log((sqrt(cos(cos(cos(((sqrt(log(sqrt((tan((3 * 7)))**2),10)))*(9))**4)))))**3,2)))))**3)),9)))))*(8))*(10))",cos(((asin(cos(acos(log_9(atan(sqrt((tan(atan(acos(log_2((sqrt(cos(cos(cos(((sqrt(log_10(sqrt((tan((3 * 7)))^2))))*(9))^4)))))^3)))))^3)))))))*(8))*(10)),-0.193370687817707
tan,"tan(cos(((asin(cos(acos(log(atan(sqrt((tan(atan(acos(log((sqrt(cos(cos(cos(((sqrt(log(sqrt((tan((3 * 7)))**2),10)))*(9))**4)))))**3,2)))))**3)),9)))))*(8))*(10)))",tan(cos(((asin(cos(acos(log_9(atan(sqrt((tan(atan(acos(log_2((sqrt(cos(cos(cos(((sqrt(log_10(sqrt((tan((3 * 7)))^2))))*(9))^4)))))^3)))))^3)))))))*(8))*(10))),-0.195817477325165
cos,"cos(tan(cos(((asin(cos(acos(log(atan(sqrt((tan(atan(acos(log((sqrt(cos(cos(cos(((sqrt(log(sqrt((tan((3 * 7)))**2),10)))*(9))**4)))))**3,2)))))**3)),9)))))*(8))*(10))))",cos(tan(cos(((asin(cos(acos(log_9(atan(sqrt((tan(atan(acos(log_2((sqrt(cos(cos(cos(((sqrt(log_10(sqrt((tan((3 * 7)))^2))))*(9))^4)))))^3)))))^3)))))))*(8))*(10)))),0.980888942016571
exp,"exp(cos(tan(cos(((asin(cos(acos(log(atan(sqrt((tan(atan(acos(log((sqrt(cos(cos(cos(((sqrt(log(sqrt((tan((3 * 7)))**2),10)))*(9))**4)))))**3,2)))))**3)),9)))))*(8))*(10)))))",e^(cos(tan(cos(((asin(cos(acos(log_9(atan(sqrt((tan(atan(acos(log_2((sqrt(cos(cos(cos(((sqrt(log_10(sqrt((tan((3 * 7)))^2))))*(9))^4)))))^3)))))^3)))))))*(8))*(10))))),2.66682584209672
/,"(exp(cos(tan(cos(((asin(cos(acos(log(atan(sqrt((tan(atan(acos(log((sqrt(cos(cos(cos(((sqrt(log(sqrt((tan((3 * 7)))**2),10)))*(9))**4)))))**3,2)))))**3)),9)))))*(8))*(10))))))/(8)",(e^(cos(tan(cos(((asin(cos(acos(log_9(atan(sqrt((tan(atan(acos(log_2((sqrt(cos(cos(cos(((sqrt(log_10(sqrt((tan((3 * 7)))^2))))*(9))^4)))))^3)))))^3)))))))*(8))*(10))))))/(8),0.333353230262090
sqrt,"sqrt((exp(cos(tan(cos(((asin(cos(acos(log(atan(sqrt((tan(atan(acos(log((sqrt(cos(cos(cos(((sqrt(log(sqrt((tan((3 * 7)))**2),10)))*(9))**4)))))**3,2)))))**3)),9)))))*(8))*(10))))))/(8))",sqrt((e^(cos(tan(cos(((asin(cos(acos(log_9(atan(sqrt((tan(atan(acos(log_2((sqrt(cos(cos(cos(((sqrt(log_10(sqrt((tan((3 * 7)))^2))))*(9))^4)))))^3)))))^3)))))))*(8))*(10))))))/(8)),0.577367500178257
*,"(sqrt((exp(cos(tan(cos(((asin(cos(acos(log(atan(sqrt((tan(atan(acos(log((sqrt(cos(cos(cos(((sqrt(log(sqrt((tan((3 * 7)))**2),10)))*(9))**4)))))**3,2)))))**3)),9)))))*(8))*(10))))))/(8)))*(9)",(sqrt((e^(cos(tan(cos(((asin(cos(acos(log_9(atan(sqrt((tan(atan(acos(log_2((sqrt(cos(cos(cos(((sqrt(log_10(sqrt((tan((3 * 7)))^2))))*(9))^4)))))^3)))))^3)))))))*(8))*(10))))))/(8)))*(9),5.19630750160431
sin,"sin((sqrt((exp(cos(tan(cos(((asin(cos(acos(log(atan(sqrt((tan(atan(acos(log((sqrt(cos(cos(cos(((sqrt(log(sqrt((tan((3 * 7)))**2),10)))*(9))**4)))))**3,2)))))**3)),9)))))*(8))*(10))))))/(8)))*(9))",sin((sqrt((e^(cos(tan(cos(((asin(cos(acos(log_9(atan(sqrt((tan(atan(acos(log_2((sqrt(cos(cos(cos(((sqrt(log_10(sqrt((tan((3 * 7)))^2))))*(9))^4)))))^3)))))^3)))))))*(8))*(10))))))/(8)))*(9)),-0.885178626101976
exp,"exp(sin((sqrt((exp(cos(tan(cos(((asin(cos(acos(log(atan(sqrt((tan(atan(acos(log((sqrt(cos(cos(cos(((sqrt(log(sqrt((tan((3 * 7)))**2),10)))*(9))**4)))))**3,2)))))**3)),9)))))*(8))*(10))))))/(8)))*(9)))",e^(sin((sqrt((e^(cos(tan(cos(((asin(cos(acos(log_9(atan(sqrt((tan(atan(acos(log_2((sqrt(cos(cos(cos(((sqrt(log_10(sqrt((tan((3 * 7)))^2))))*(9))^4)))))^3)))))^3)))))))*(8))*(10))))))/(8)))*(9))),0.412640458338949
acos,"acos(exp(sin((sqrt((exp(cos(tan(cos(((asin(cos(acos(log(atan(sqrt((tan(atan(acos(log((sqrt(cos(cos(cos(((sqrt(log(sqrt((tan((3 * 7)))**2),10)))*(9))**4)))))**3,2)))))**3)),9)))))*(8))*(10))))))/(8)))*(9))))",acos(e^(sin((sqrt((e^(cos(tan(cos(((asin(cos(acos(log_9(atan(sqrt((tan(atan(acos(log_2((sqrt(cos(cos(cos(((sqrt(log_10(sqrt((tan((3 * 7)))^2))))*(9))^4)))))^3)))))^3)))))))*(8))*(10))))))/(8)))*(9)))),1.14544540649024
sin,"sin(acos(exp(sin((sqrt((exp(cos(tan(cos(((asin(cos(acos(log(atan(sqrt((tan(atan(acos(log((sqrt(cos(cos(cos(((sqrt(log(sqrt((tan((3 * 7)))**2),10)))*(9))**4)))))**3,2)))))**3)),9)))))*(8))*(10))))))/(8)))*(9)))))",sin(acos(e^(sin((sqrt((e^(cos(tan(cos(((asin(cos(acos(log_9(atan(sqrt((tan(atan(acos(log_2((sqrt(cos(cos(cos(((sqrt(log_10(sqrt((tan((3 * 7)))^2))))*(9))^4)))))^3)))))^3)))))))*(8))*(10))))))/(8)))*(9))))),0.910893985127700
asin,"asin(sin(acos(exp(sin((sqrt((exp(cos(tan(cos(((asin(cos(acos(log(atan(sqrt((tan(atan(acos(log((sqrt(cos(cos(cos(((sqrt(log(sqrt((tan((3 * 7)))**2),10)))*(9))**4)))))**3,2)))))**3)),9)))))*(8))*(10))))))/(8)))*(9))))))",asin(sin(acos(e^(sin((sqrt((e^(cos(tan(cos(((asin(cos(acos(log_9(atan(sqrt((tan(atan(acos(log_2((sqrt(cos(cos(cos(((sqrt(log_10(sqrt((tan((3 * 7)))^2))))*(9))^4)))))^3)))))^3)))))))*(8))*(10))))))/(8)))*(9)))))),1.14544540649024
log,"log(asin(sin(acos(exp(sin((sqrt((exp(cos(tan(cos(((asin(cos(acos(log(atan(sqrt((tan(atan(acos(log((sqrt(cos(cos(cos(((sqrt(log(sqrt((tan((3 * 7)))**2),10)))*(9))**4)))))**3,2)))))**3)),9)))))*(8))*(10))))))/(8)))*(9)))))),4)",log_4(asin(sin(acos(e^(sin((sqrt((e^(cos(tan(cos(((asin(cos(acos(log_9(atan(sqrt((tan(atan(acos(log_2((sqrt(cos(cos(cos(((sqrt(log_10(sqrt((tan((3 * 7)))^2))))*(9))^4)))))^3)))))^3)))))))*(8))*(10))))))/(8)))*(9))))))),0.0979543497216832
