New op,SYMPY expression,Expression for LLM,Value
N/A,(6 / 3),(6 / 3),2.00000000000000
log,"log((6 / 3),5)",log_5((6 / 3)),0.430676558073393
exp,"exp(log((6 / 3),5))",e^(log_5((6 / 3))),1.53829791944116
pow,"(exp(log((6 / 3),5)))**5",(e^(log_5((6 / 3))))^5,8.61394834832855
tan,"tan((exp(log((6 / 3),5)))**5)",tan((e^(log_5((6 / 3))))^5),-1.05220171787002
pow,"(tan((exp(log((6 / 3),5)))**5))**4",(tan((e^(log_5((6 / 3))))^5))^4,1.22573341606692
/,"((tan((exp(log((6 / 3),5)))**5))**4)/(4)",((tan((e^(log_5((6 / 3))))^5))^4)/(4),0.306433354016730
acos,"acos(((tan((exp(log((6 / 3),5)))**5))**4)/(4))",acos(((tan((e^(log_5((6 / 3))))^5))^4)/(4)),1.25935246712531
exp,"exp(acos(((tan((exp(log((6 / 3),5)))**5))**4)/(4)))",e^(acos(((tan((e^(log_5((6 / 3))))^5))^4)/(4))),3.52313939999820
*,"(exp(acos(((tan((exp(log((6 / 3),5)))**5))**4)/(4))))*(5)",(e^(acos(((tan((e^(log_5((6 / 3))))^5))^4)/(4))))*(5),17.6156969999910
tan,"tan((exp(acos(((tan((exp(log((6 / 3),5)))**5))**4)/(4))))*(5))",tan((e^(acos(((tan((e^(log_5((6 / 3))))^5))^4)/(4))))*(5)),-2.85473851702792
cos,"cos(tan((exp(acos(((tan((exp(log((6 / 3),5)))**5))**4)/(4))))*(5)))",cos(tan((e^(acos(((tan((e^(log_5((6 / 3))))^5))^4)/(4))))*(5))),-0.959138699073319
acos,"acos(cos(tan((exp(acos(((tan((exp(log((6 / 3),5)))**5))**4)/(4))))*(5))))",acos(cos(tan((e^(acos(((tan((e^(log_5((6 / 3))))^5))^4)/(4))))*(5)))),2.85473851702792
sin,"sin(acos(cos(tan((exp(acos(((tan((exp(log((6 / 3),5)))**5))**4)/(4))))*(5)))))",sin(acos(cos(tan((e^(acos(((tan((e^(log_5((6 / 3))))^5))^4)/(4))))*(5))))),0.282936310748447
tan,"tan(sin(acos(cos(tan((exp(acos(((tan((exp(log((6 / 3),5)))**5))**4)/(4))))*(5))))))",tan(sin(acos(cos(tan((e^(acos(((tan((e^(log_5((6 / 3))))^5))^4)/(4))))*(5)))))),0.290736128352637
atan,"atan(tan(sin(acos(cos(tan((exp(acos(((tan((exp(log((6 / 3),5)))**5))**4)/(4))))*(5)))))))",atan(tan(sin(acos(cos(tan((e^(acos(((tan((e^(log_5((6 / 3))))^5))^4)/(4))))*(5))))))),0.282936310748447
asin,"asin(atan(tan(sin(acos(cos(tan((exp(acos(((tan((exp(log((6 / 3),5)))**5))**4)/(4))))*(5))))))))",asin(atan(tan(sin(acos(cos(tan((e^(acos(((tan((e^(log_5((6 / 3))))^5))^4)/(4))))*(5)))))))),0.286854136561870
cos,"cos(asin(atan(tan(sin(acos(cos(tan((exp(acos(((tan((exp(log((6 / 3),5)))**5))**4)/(4))))*(5)))))))))",cos(asin(atan(tan(sin(acos(cos(tan((e^(acos(((tan((e^(log_5((6 / 3))))^5))^4)/(4))))*(5))))))))),0.959138699073319
atan,"atan(cos(asin(atan(tan(sin(acos(cos(tan((exp(acos(((tan((exp(log((6 / 3),5)))**5))**4)/(4))))*(5))))))))))",atan(cos(asin(atan(tan(sin(acos(cos(tan((e^(acos(((tan((e^(log_5((6 / 3))))^5))^4)/(4))))*(5)))))))))),0.764544419076820
sin,"sin(atan(cos(asin(atan(tan(sin(acos(cos(tan((exp(acos(((tan((exp(log((6 / 3),5)))**5))**4)/(4))))*(5)))))))))))",sin(atan(cos(asin(atan(tan(sin(acos(cos(tan((e^(acos(((tan((e^(log_5((6 / 3))))^5))^4)/(4))))*(5))))))))))),0.692208278665000
atan,"atan(sin(atan(cos(asin(atan(tan(sin(acos(cos(tan((exp(acos(((tan((exp(log((6 / 3),5)))**5))**4)/(4))))*(5))))))))))))",atan(sin(atan(cos(asin(atan(tan(sin(acos(cos(tan((e^(acos(((tan((e^(log_5((6 / 3))))^5))^4)/(4))))*(5)))))))))))),0.605477456855778
*,"(atan(sin(atan(cos(asin(atan(tan(sin(acos(cos(tan((exp(acos(((tan((exp(log((6 / 3),5)))**5))**4)/(4))))*(5)))))))))))))*(9)",(atan(sin(atan(cos(asin(atan(tan(sin(acos(cos(tan((e^(acos(((tan((e^(log_5((6 / 3))))^5))^4)/(4))))*(5)))))))))))))*(9),5.44929711170200
sin,"sin((atan(sin(atan(cos(asin(atan(tan(sin(acos(cos(tan((exp(acos(((tan((exp(log((6 / 3),5)))**5))**4)/(4))))*(5)))))))))))))*(9))",sin((atan(sin(atan(cos(asin(atan(tan(sin(acos(cos(tan((e^(acos(((tan((e^(log_5((6 / 3))))^5))^4)/(4))))*(5)))))))))))))*(9)),-0.740549835336605
*,"(sin((atan(sin(atan(cos(asin(atan(tan(sin(acos(cos(tan((exp(acos(((tan((exp(log((6 / 3),5)))**5))**4)/(4))))*(5)))))))))))))*(9)))*(7)",(sin((atan(sin(atan(cos(asin(atan(tan(sin(acos(cos(tan((e^(acos(((tan((e^(log_5((6 / 3))))^5))^4)/(4))))*(5)))))))))))))*(9)))*(7),-5.18384884735624
